apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
chipwanyo 	D- 	7 	z 		chipwanyo D- z 7 . Chipwanyo mudziyo unoshandiswa kutswanya zvinhu.
chirakasho 	DKKD 	7 	z 		chirakasho DKKD z 7 . Uyu munhu anoita zvoutsinye pane zvose zvaaniota.
chirambo 	DKK 	7 	z 		chirambo DKK z 7 . Chirambo inzvimbo inomera howa gore negore, kana kuti panowanikwa mhando yechimwe chisikwa pane imwe nguva yegore. Chirambo chehowa uhu churu.
chirangariro 	D- 	7 	z 		chirangariro D- z 7 . Uku kufungira mumwoyo kwokutondera zvakamboitika.
chirapanuro 	D- 	7 	z 		chirapanuro D- z 7 . Uyu munhu ane urozvi hwakatesva, anokwanisa zvinokona vamwe.
chiraramiso 	D- 	7 	z 		chiraramiso D- z 7 . Ichi chinhu chese chinopa upenyu.
chirariro 	DKKD 	7 	z 		chirariro DKKD z 7 . chirairo 7 .
chiredzo 	DKK 	7 	z 		chiredzo chivedzo DKK z 7 . chirauro 7 .
chiremo 	D- 	7 	z 		chiremo D- z 7 . Chiremo chipenga chemucheka chinosonerwa panenge pabvaruka. chigamba 7 .
chirigo 	D- 	7 	z 		chirigo D- z 7 . Chirigo muripo unopiwa ishe kana achitonga nyaya.
chiripiro 	D- 	7 	z 		chiripiro D- z 7 . Ichi chinhu chaunoita kana chaunobvisa kuratidza kuti hauchadi kuzoitazve zvawakambokanganisa.
chiro 	D- 	7 	z 		chiro D- z 7 . chinhu 7 .
chirodzeso 	D- 	7 	z 		chirodzeso D- z 7 . Ichi ndicho chinotesvereswa midziyo. chirodzo 7 .
chirombo 	DDK 	7 	z 		chirombo DDK z 7 . Chirombo imhuka huru kana zinhu ziguru. chikara 7 .
chirongedzero 	D- 	7 	z 		chirongedzero D- z 7 . Iyi inzvimbo yese yese zvayo inochengeterwa zvinhu.
chirongo 	DDK 	7 	z 		chirongo DDK z 7 . Chirongo rudzi rwehari huru inoumbwa nevhu, inoshandiswa pakuchera mvura kutsime nokuichengetera mumba.
chirooroo 	DKDKD 	7 	z 		chirooroo DKDKD z 7 . Uyu mutauro wemasanganiswa waishandiswa kare kumabasa pakati pevarungu nevatema. chiraparapa 7, fanikaroo 9 .
chiroto 	DKK 	7 	z 		chiroto DKK z 7 . Chiroto kuitika kwezvinhu zvaunoona iwe uri kuhope.
chirovhoro 	DKKD 	7 	z 		chirovhoro DKKD z 7 . Uyu munhu anokara chikafu zvakanyanya.
chirumiko 	DKKD 	7 	z 		chirumiko DKKD z 7 . Iri izita rinopiwa nyanga kana demhe rinoshandiswa nen'anga pakuburitsa zvikandwa zvinenge zviri mumuviri womurwere. murumiko 3 .
chirwadzo 	DKK 	7 	z 		chirwadzo DKK z 7 . Chirwadzo kudzimbikana kwenyama dzomuviri kana kuti shungu dziri pamwoyo.
chisaino 	DKKD 	7 	z 		chisaino DKKD z 7 . Iyi ihari yehwahwa yokupedzisira inopiwa vanhu pahumwe. chiparadza 7 .
chisakiso 	D- 	7 	z 		chisakiso D- z 7 . Ichi ndechinokonzera kuti zvinhu zviitike. Chisakiso chokufoira uku kutamba nguva yebasa. chikonzero 7 .
chisango 	DKK 	7 	z 		chisango DKK z 7 . Iyi inzvimbo ine miti yakawanda asi iri diki.
chisharo 	D- 	7 	z 		chisharo D- z 7 . Ichi chigaro chinogarwa nomunhu achichovha bhasikoro. chigaro 7 .
chishongedzo 	D- 	7 	z 		chishongedzo D- z 7 . Ichi chipfeko chipi zvacho chinoonekera pamunhu. Vakadzi vanopfeka mhete sechishongedzo chokuwedzera runako.
chishuwiro 	D- 	7 	z 		chishuwiro D- z 7 . chishuwo 7 .
chishwaturo 	D- 	7 	z 		chishwaturo D- z 7 . Iyi inenge iri nyanzvi pane zvemishonga yetsiva, kana mimwewo zvayo inotadzwa navazhinji. shasha 9 .
chisiyaniso 	DKKKD 	7 	z 		chisiyaniso DKKKD z 7 . Urwu rupawo runoita kuti zvinhu zvakafanana zvionekwe kuti chimwe nechimwe ndechipi.
chiso 	DK 	7 	z 		chiso DK z 7 . Chiso kumberi komusoro kwaunoona nako. uso 14 .
chisunguro 	D- 	7 	z 		chisunguro D- z 7 . Iyi isefa inosviniswa hwahwa kuti hubve masese kuchisara musvi. chishuzho, 7, chisvino 7 .
chisvino 	D- 	7 	z 		chisvino D- z 7 . Chisvino isefa inoshandiswa pakusvina hwahwa. chisusuniso 7, tsunguro 9 .
chisvusvuro 	DKKD 	7 	z 		chisvusvuro DKKD z 7 . Uku kudya kwavanhu kwamangwanani.
chitenderano 	D- 	7 	z 		chitenderano D- z 7 . Ichi chitsidzo chokuwirirana zvinenge zvataurwa. chibvumirano 7 .
chitepo 	DKK 	7 	z 		chitepo DKK z 7 . Chitepo mudziyo unoshandiswa kupatsanura masese kubva kumusvi.
chitoro 	DKD 	7 	z 		chitoro DKD z 7 . Chitoro imba inotengeserwa zvinhu zvakasiyana-siyana.
chitsamiro 	DKKD 	7 	z 		chitsamiro DKKD z 7 . Ichi ndechese chingashandiswa kutsigira musoro kana munhu akavata. mutsago 3 .
chitsetserero 	DKKKD 	7 	z 		chitsetserero DKKKD z 7 . Uyu munhu anongoti chero ada opomera mhosva.
chitsidzirano 	D- 	7 	z 		chitsidzirano D- z 7 . chitsidzo 7 .
chitsigiro 	DKKD 	7 	z 		chitsigiro DKKD z 7 . Ichi chinhu chese chinobatsira kuti chimwewo chisadonha kana kubhuruvara.
chitsitsinho 	DKKD 	7 	z 		chitsitsinho DKKD z 7 . Uku ndiko shure kwetsoka kunotanga kutsika pasi kana munhu ava kufamba. chidodoma 7 .
chituko 	DKK 	7 	z 		chituko DKK z 7 . Chituko mazwi anogumbura kana kuti okurwadzisa anoudzwa munhu kuti atsamwe.
chituro 	DKK 	7 	z 		chituro chituru DKK z 7 . Chituro chigaro chidiki chine makumbo.
chityaro 	D- 	7 	z 		chityaro D- z 7 . Chityaro chikumba chinogara munhu pabhasikoro kana kuti pabhiza. chigaro 7 .
chiuchiro 	DKKD 	7 	z 		chiuchiro DKKD z 7 . Iyi imari inobviswa nomunhu kuratidza kuti ari kuda kuombera ishe, tezvara kana kuti ambuya. Paairoora akabvisiswa chiuchiro natezvara.
chivaraidzo 	DKKKD 	7 	z 		chivaraidzo DKKKD z 7 . Ichi chinhu chaunoti uchiona chinokugutsa mumaziso, zvokuti unoramba uchida kuchiona.
chivero 	D- 	7 	z 		chivero D- z 7 . Chivero idombo rinoshandiswa kurodzera midziyo.
chivharo 	D- 	7 	z 		chivharo D- z 7 . Chivaro ndechose chingashandiswa kudzivira buri kana muromo wechinhu chakaita segaba kana bhotoro.
chivhuro 	D- 	7 	z 		chivhuro D- z 7 . Chivhuro ndechose chingashandiswa kudziura mivharo yemabhodhoro kana yemagaba. Tora chivhuro uvhure gaba renyama iri.
chivimbiso 	D- 	7 	z 		chivimbiso D- z 7 . Uku kutenderana nomunhu kuzoita chimwe chinhu. Ndakapa musikana wangu chivimbiso chokuti ndichamuroora. chitsidzo 7 .
chiwowowo 	DDKD 	7 	z 		chiwowowo DDKD z 7 . Urwu ruzha runenge ruchiitwa navanhu vari chinhambwe, vachitaura zvinenge zvisinganyatsi kunzikwa.
chiyeuchidzo 	D- 	7 	z 		chiyeuchidzo D- z 7 . Ichi chinhu chine basa rekutondedza munhu nezvakaitika kana zvaanofanira kuita. Bhachi iri chiyeuchidzo chasekuru vangu vakafa. rutondedzo 11 .
chiyevedzo 	D- 	7 	z 		chiyevedzo D- z 7 . Ichi chinhu chinonakidza kuona. Mapopoma eVictoria Falls chiyevedzo chinovingwa navanhu vanobva kunyika dzakasiyana-siyana vachizoona.
chiyovhovho 	KDDD 	7 	z 		chiyovhovho KDDD z 7 . Urwu rudzi rweshiri diki ine bumu nebesu guru. Chiyovhovho chiri kurira mudendere. tiyovhovho 9 .
chiziso 	DKK 	7 	z 		chiziso DKK z 7 . Chiziso kahona kakazvimba, kari necheparutivi panosangana tsoka netsapfu. Akabondera chiziso paaimanya achitevedza madziro.
chiziviso 	DKKD 	7 	z 		chiziviso DKKD z 7 . Aya mashoko akanyorwa kana kuti okutaura, anoyambira kana kuudza voruzhinji zvimwe zvingavabatsira. Chiziviso chiri pamadziro icho ndechemazamanishoni achanyorwa kupera kwegore.
chizvarirwo 	DKDK 	7 	z 		chizvarirwo DKDK z 7 . Uhu upenyu nemaitiro evanhu zvokukura nazvo parudzi rwavo. Dzimwe svondo dzinokurudzira chizvarirwo, asi dzimwewo dzinotevera zvechirungu. chibarirwe 7 .
chizvondo 	DKK 	7 	z 		chizvondo DKK z 7 . Chizvondo mweya wokungovenga mumwe munhu.
-cho 	D 		mwene 		-cho D mwene . Ichi chirevamwene cho mupanda wechinomwe. Chana chacho chine mari yacho.
cho cho cho 	D- 		ny 		cho cho cho D- ny . Uku kuridza zvinhu zvakaita zvisimbi zvichirovana. Mukomana aiti homwe yake cho cho cho kuti tizive kuti ane mari. Uku kuchovha bhasikoro zvine chimbi chimbi, sapamujaho.
cho-o cho-o 	D- 		ny 		cho-o cho-o D- ny . Kuti cho-o cho-o kuchovha bhasikoro zvinyoronyoro. Vamukaka vanomukira kuti cho-o cho-o bhasikoro ravo vachiteedza dzimba.
chogodo 	DDK 		ny 		chogodo DDK ny . Kuti chogodo kubvisa madota kana chimwe chinhu nokugumha.
choko 	KD 	9>10 	z 		choko KD z 9>10 . Choko chinyoreso chinoshandiswa kunyora pachidziro chitema muchikoro.
chombo 	D- 	7 	z 		chombo D- z 7 . Chombo chinhu chese chinoshandiswa pakurwisa. Kana mbavha ine chombo inonetsa kubata.
chororo 	K- 		ny 		chororo K- ny . Kuti chororo kuchururuka kunoita zvinhu zvakaita mvura, zvichienda pasi.
daidzo 	KKD 	9>10 	z 		daidzo KKD z 9>10 . davidzo 9 .
dairo 	K- 	9>10 	z 		dairo K- z 9>10 . davidzo 9 .
dako 	K- 	5>6 	z 		dako K- z 5>6 . Dako inhengo yomuviri ine nyama yakawanda, inoshandiswa pakugara. garo 5, gadziko 5, figa 9 .
dambiro 	KKD 	5 	z 		dambiro KKD z 5 . Dambiro inzvimbo yakatandauka panoungana vanhu vachifara zvavo, kunyanya vana vaduku.
dambudziko 	D- 	5>6 	z 		dambudziko D- z 5>6 . Ichi chinetso chinokushungurudza kana kukukanganisa ugaro hwako. Iyi inhamo yokufirwa nehama dzako kana vamwewo vaunoziva. Akapinda dambudziko paakafirwa namai vake. nhamo 9, njodzi 9. .
dandaro 	KKD 	5 	z 		dandaro KKD z 5 . Dandaro kuvarairwa kwamunenge makaita, muchitaura zvenyu nyaya pasina chamunomhanyira kuita.
dangameno 	KKDK 	5 	z 		dangameno KKDK z 5 . Uyu mwana mudiki anenge amera mazino ake okutanga.
dano 	K- 	5>6 	z 		dano K- z 5>6 . bakwa 5 .
dano 	KD 		ny 		dano KD ny . Kuti dano kushayiswa zano nezvinenge zvaitika kana nedambudziko rinenge rakuwira. Imba zvayakawa ichangopedza kuvakwa, vanhu vakangoti dano nazvo. kapu . Kuti dano kushamiswa zvokuti unobva wangoshaya zvokuita. tuzu .
dariro 	KDK 	5 	z 		dariro KDK z 5 . Dariro kurongana kwevanhu kana zvimwe pachibuda mucherechedzo wedendenedzi unosara pakati. Kana vanhu vakamira mudariro vanoonana zviso zvavo vose.
dariso 	KDK 		bat 		dariso KDK bat . dai .
daviro 	D- 	5 	z 		daviro D- z 5 . mhinduro 9. .
deko 	K- 	5>6 	z 		deko K- z 5>6 . Deko iganda rakaomarara, sereuyu kana renzungu.
dembo 	D- 	5 	z 		dembo D- z 5 . Dembo kamhuka kadiki kanobudisa mweya unonhuwa zvikuru. chidembo 7, bvungo 5 .
-deno 	KD 		bat 		-deno KD bat . dai .
dero 	KD 		bat 		dero KD bat . dai .
detembedzo 	KKKD 				detembedzo KKKD . detembo 5 .
detembo 	K- 	5>/10 	z 		detembo K- z 5>/10 . Detembo mazwi akanyorwa kana anotaurwa anobudisa dingindira ranyanduri, achishandisa mutauro wakapfuma unosanganisa, tsumo, madimikira, mizvambarara, minzvengure nezvimwewo. Mutupo umwe noumwe une detembo rawo. nhetembo 9 .
dhirowo 	D- 	5 	z 		dhirowo D- z 5 . Dhirowo mudziyo wakavezwa unokakatwa kubva pane mumwe, uchigona kuchengeterwa mupepa nezvimwewo.
dhokonono 	DKDD 	5 	z 		dhokonono DKDD z 5 . Iyi itsvina inoitwa nehuku kana neshiri.
dhovho 	DK 		ny 		dhovho DK ny . Kuti dhovho kuboora chinhu chakapfava neseri. Zimunzwa rakati dhovho richipinda mugaka.
do do 	D- 		ny 		do do D- ny . Kuti do do kudonha kunoita mvura ine madonhwe makuru kana michero.
dodorodo 	D- 		ny 		dodorodo D- ny . Kana munhu achiti dodorodo anenge achisvika panhu zvisingafungirwe. vhu . Kuti dodorodo kusvika pane chawanga uchishuva kuwana.
dofo 	DK 	5 	z 		dofo DK z 5 . Dofo inzvimbo yakaorera, inojenga mvura, inobvira kurima muchirimo.
dokotoko 	D- 	5 	z 		dokotoko D- z 5 . Uyu munhu muhombe ane muviri usina kusimba. Uku kupisa kukuru kwezuva.
dondo 	D- 	5>6 	z 		dondo D- z 5>6 . Dondo inzvimbo ine miti yakawanda mirefu, nemhuka uye neshiri, isina vanhu vanogara mairi. sango 5 .
dondoro 	K- 	5 	z 		dondoro K- z 5 . Izvi zvivezwa zvinoitsimbirirwa zvakaiswa muhapwa kuti munhu akakuvara makumbo akwanise kufamba.
dongo 	DK 	5 	z 		dongo DK z 5 . Dongo ivhu dema rinoumbiswa. rondo 5 . Dongo igomba rinotorwa ivhu rokuumbisa. rondo 5 .
donhodzo 	KKD 	5 	z 		donhodzo KKD z 5 . Donhodzo mazwi anonyaradza munhu anenge ane zvinomunetsa. Donhodzo imvura kana chinwiwa chinoita kuti unzwe zviri nani kana wanga wambopiswa zvakanyanya.
dudzirachiito 	D- 	5 	z 		dudzirachiito D- z 5 . Iri izwi rinotsanangura chiito muchirevo.
duhwino 	D- 	5 	z 		duhwino D- z 5 . dhidho 5 .
dumburiro 	D- 	5 	z 		dumburiro D- z 5 . Apa ndepanotusvurwa napo dumbu remhuka kuburitsa ura nezvimwe zvomukati.
duriro 	KKD 	5>6 	z 		duriro KKD z 5>6 . Duriro itsika yokusvitsa mashoko kumukuru nokuna vamwewo vakuru, asi iye aripo achizvinzwa zvake.
duro 	K- 	5>6 	z 		duro K- z 5>6 . Duro inzvimbo yokumbozororera kana zviya muchifamba masenga zvinorema.
duvino 	D- 	5>6 	z 		duvino D- z 5>6 . dhidho 5 .
dyiro 	K- 	9 	z 		dyiro K- z 9 . Dyiro chikafu chokukwezva shiri, hove kana mbeva padzinoteyiwa. Hove dzinonyanyobatika kana masese akashandiswa sedyiro, nokuti anoita kuti dzidhakwe.
dzikinyidzo 	KKKD 	5 	z 		dzikinyidzo KKKD z 5 . Iyi imari kana zvimwewo zvinoitirwa munhu kuti aite zvinhu zvisiri pamutemo.
dzingiso 	KKD 	9 	z 		dzingiso KKD z 9 . Dzingiso maitiro echiJudha mumazuva aJesu okuchecheudza mwanakomana mumazuva masere okuzvarwa.
dzivo 	D 	5 	z 		dzivo D z 5 . Dzivo kupopotedzana nokurwisana kwavanhu.
dzoko 	DK 		bat 		dzoko DK bat . dzoke .
dzokono 	DKD 		ny 		dzokono DKD ny . dzoke .
dzoro 	D- 	5 	z 		dzoro D- z 5 . Dzoro inguva yokubatsirana basa, sezvinoitwa navavakidzani vachiravana kufudza mombe nezvimwewo mazuva akatarwa. Dzoro ren'ombe rinoda mufudzi akachenjera nokuti n'ombe dzavanhu dzingarasika. chijana 5, jana 5, zoro 5 .
dzotso 	K- 	5 	z 		dzotso K- z 5 . Dzotso muti wakaita muduku, unenge watemwa ukaoma, uine mashizha anenge achikuhumuka. tsotso 9 .
dzvito 	K- 	5 	z 		dzvito K- z 5 . Dzvito izera rokuti mukomana anenge akura, ava pedyo nokuita saimba. jaya 5 .
dzvoko 	DK 		ny 		dzvoko DK ny . Kuti dzvoko kutarisa munhu uchiratidza kuti washatirwa kana kuti haumufariri, uye usingabvisi ziso paari.
dzvongo 	KD 		ny 		dzvongo KD ny . Kuti dzvongo kuminama pane imwe nzvimbo kwechinhu chakaita sedanda.
dzvootsvoo 	K- 	5 	z 		dzvootsvoo K- z 5 . Dzvootsvoo kurwisana kunenge kuchiita vanhu zvikuru kana vakawanda. bongozozo 5 .
dzvotsvotsvo 	D- 	5 	z 		dzvotsvotsvo D- z 5 . dzvotsvoma 5 .
evo 	DK 		kanu 		evo DK kanu . Iri izwi rinoshandiswa kubvuma kana kuti kubvumira chimwe chinhu. evoni, hevo .
fananidzo 	KKKD 	9>10 	z 		fananidzo KKKD z 9>10 . Uyu muenzaniso ungashandiswa muchinyorwa, kuitira kuti muverengi aone ega zviri kutaurwa zvacho mumusoro make. Munyori uyu anoshandisa fananidzo dzinoyevedza munhetembo dzake.
fanikiso 	KDKD 	9 	z 		fanikiso KDKD z 9 . mufananidzo .
faniro 	KKD 	9 	z 		faniro KKD z 9 . Faniro magariro kana tsika kana basa, zvinotarisirwa kuno munhu kana kune chimwe chinhu. Faniro yevana kukudza vabereki.
-fano 	D 				-fano D it . - fana .
fembo 	K- 	9 	z 		fembo K- z 9 . Fembo mushonga waunopuwa nen'anga kuti ugoita wokupwititidza uchifema.
feso 	D- 	5 	z 		feso D- z 5 . soso 5 .
figo 	KD 	5 	z 		figo figu KD z 5 . banana 5 .
fiyo 	KD 		ny 		fiyo KD ny . Kana tayira richinge raita kaburi rinobudisa mweya uchinzikwa kuti fiyo .
fo-o 	D 		ny 		fo-o D ny . Kuti fo-o kubuda kunoita mweya wakawanda uchitonzikwa, sezviya zvingaita chubhu yatsemuka.
fo-o 	K 		ny 		fo-o K ny . Kana mvura yava kuda kutanga kuvira inoita karuzha kokuti fo-o . Kuti fo-o kukurumidza kubika zvokuti unobva wangopedza pakarepo. fu-u .
fodo 	KD 		ny 		fodo KD ny . Kuti fodo kutswinya munhu chaizvo zvinorwadza.
fofo 	KD 	9 	z 		fofo KD z 9 . Fofo kabhokisi kanenge kane mikwene yekubatidzisa moto, kana kuti iyo mikwene yacho. machisi 9 .
fombo 	DK 		ny 		fombo DK ny . Kana ukati chimwe chinhu fombo unenge uchichera nechomukati. Kuti fombo kunombora chinhu chakaita sedovi kana mafuta.
fondo 	DK 	9 	z 		fondo DK z 9 . nguruve 9 .
fondo 	KD 		ny 		fondo KD ny . Kuti fondo kukotama, sezviya zvaungaita kana uchisakura.
foonyo 	KKD 		ny 		foonyo KKD ny . foono .
forimbo 	KKD 	9>6 	z 		forimbo KKD z 9>6 . Forimbo munhu muhombe, mukobvu, ane huma huru.
foro 	KD 	9 	z 		foro KD z 9 . Foro mutsetse unocherwa negejo pamunenge muchirima. muforo 3, ngare 9 .
fosho 	KD 				fosho KD . Kana saga rezviyo rikatsemuka, zviyo zvinoti fosho kubuda zvichiita zvokuwodzvoka.
fototo 	D- 		ny 		fototo D- ny . Kana mwoto ukati fototo unenge wava kudzima.
fototo 	D- 	5 	z 		fototo D- z 5 . Kana bhora rikati fototo rinenge rapera mweya.
fotyo 	D- 		ny 		fotyo D- ny . potyo .
fovhoro 	KDD 	9 	z 		fovhoro KDD z 9 . Kana ukashandira kana kufambira fovhoro unenge wapedza simba rako pasina chaunowana. fohora 9 .
fovo 	DK 		ny 		fovo DK ny . Kuti fovo kusvava kunoita chinhu changa chiri chinyoro sembatata.
fovoto 	D- 		ny 		fovoto D- ny . Kana chinhu chati fovoto chinenge chapfava zvokuratidza kuda kuora.
fovovo 	D- 	5>6 	z 		fovovo D- z 5>6 . Ma fovovo imbesa dzinenge dzakasvava, dzatadza kusvika zvakanaka. Chibage chakaomerwa chikaita mafovovo, zvokuti hatina kana kutombochidya gore rino.
fozo 	DK 		ny 		fozo pfozo DK ny it . Kuti fozo kudonha kubva panzvimbo yakakwirira chaizvo.
fufuro 	D- 	9>10 	z 		fufuro chifufuro D- z 9>10 . Fufuro mubhadharo wokutenga munhu kuti asadura zvakaipa zvaunenge waita. pfumbamuromo 9, rutsikidzo 11 .
fukidzo 	KKD 	5 	z 		fukidzo KKD z 5 . Fukidzo ijira kana kuti gumbezi rinopuwa munhu paanenge asvikirwa nomudzimu.
fukusiro 	D-/KKKD 	9 	z 		fukusiro D-/KKKD z 9 . Fukusiro kuumburuka kunoita huku mudota kana kuti mubukuta.
fukuso 	D- 	9>10 	z 		fukuso D- z 9>10 . Fukuso chimuti kana kuti chisimbi chokugofesa mwoto kuti unyatsobaka.
fumbo 	D- 	9 	z 		fumbo D- z 9 . Fumbo mushonga unoshandiswa nomuroyi kurarisa munhu kuita seafa, zvokuti haazozivi zviri kuitika. muko 3 .
fumho 	D- 	5 	z 		fumho D- z 5 . Fumho idavi rine mashizha manyoro rinoshandiswa kudzimura mwoto mudondo. Fumho ingowani yakarukwa. Fumho kumucheto kwetambo kana tyava yakakoshwa kana kurukwa, asi iko kusina kuzorukwa, zvokuti kunogona kushandiswa kupumha kana kusvaya.
fundo 	KD 	9 	z 		fundo KD z 9 . dzidzo 9 .
fungidziro 	D- 	9 	z 		fungidziro D- z 9 . fungwa 9 .
fungidzo 	D- 	9 	z 		fungidzo D- z 9 . yeuchidzo 9 .
fungiramumwoyo 	D- 	9 	z 		fungiramumwoyo D- z 9 . Fungiramumwoyo kungoita zvinhu zvako wakanyarara asi iwe uchiziva chinangwa chako. Shupikai akanga asingachadi zvokutaura-taura, ongoita fungiramumwoyo rwendo rwembwa.
furao 	DKD 	9 	z 		furao furau DKD z 9 . furawa 9 .
furidzo 	KKD 	5 	z 		furidzo KKD z 5 . dundira 5 .
furofuro 	K- 	5 	z 		furofuro K- z 5 . furo 5 .
gadzikano 	D- 	9 	z 		gadzikano D- z 9 . Uku kugara kwevanhu vakazorora, vasina zvinovanetsa.
gahadziko 	D- 	5 	z 		gahadziko D- z 5 . Kuva ne gahadziko kusanyatsonzwisisa zvinenge zvichiitika mushure mokuitika kwechinhu chinoshamisa.
gambiro 	KKD 	5 	z 		gambiro KKD z 5 . Gambiro mushonga wekuvhimisa unoita zvekuzorwa.
gandanhamo 	DDKK 	5 	z 		gandanhamo DDKK z 5 . Uyu mweya wakaipa unounza munyama pamunhu.
gangaidzo 	KKKD 	5 	z 		gangaidzo KKKD z 5 . Ichi ndechinoita kuti munhu avhiringike pamafungiro ake.
ganyamuto 	D- 	5 	z 		ganyamuto D- z 5 . Iri zimbama rinopihwa munhu rakasimba chaizvo.
ganyiro 	D- 	5 	z 		ganyiro D- z 5 . Ganyiro indiro huru kana kadhishi kokukanyira upfu hwokubika chingwa kana mabhanzi.
ganyo 	D- 	5 	z 		ganyo D- z 5 . Ganyo ivhu rakakanywa nemvura kuita dhaka, rekuforomesa zvitinha kana kunamisa madziro eimba. Ganyo upfu hwakakanywa kuti hugobikisa chingwa kana mabhanzi.
garo 	D- 	5 	z 		garo D- z 5 . Garo inhengo yechinhu kana munhu, inogara pasi kana chinhu chagadzikwa kana kuti munhu akagara.
gasho 	D- 		dc 		gasho D- dc . Iri izwi rinoreva kuti zvinhu zvakaitika zvachose kana kuti zvose.
go 	D 	5 	z 		go igo D z 5 . Go kachipembenene kakaita sezingizi, kanoruma nekumashure, uye kane kachiuno katetetete. miswa 11 .
go go go 	D- 		ny 		go go go D- ny . Kuti go go go kudhonera kwemvura kana zvimwevo panzvimbo imwe chete. dho dho dho .
go-o-o 	K- 		kanu 		go-o-o K- kanu . Vanhu vanoti go-o-o kana bhora richinge ramwa.
gobodo gobodo 	DDK+ 		ny 		gobodo gobodo DDK+ ny . Kuti gobodo gobodo kufamba nezvitsitsinho nezvigunwe zvichinzwika.
godo 	K- 	5 	z 		godo K- z 5 . bvupa 5 .
gogoro 	KDD 	5 	z 		gogoro KDD z 5 . Ma gogoro magirazi okudzivirira zuva.
gojodo 	D- 		ny 		gojodo gojoto D- ny . Kuti gojodo kudonha kwechinhu chikuru, chichiita ruzha kazhinji chiri chesimbi. Motokari yakati gojodo mugoronga nokuti aidhiravha akanga akadhakwa.
gojoto 	D- 		ny 		gojoto D- ny . Kuti gojoto kuwira pasi zvine ruzha. Akati simbi pasi gojoto.
goko-o 	DK 		ny 		goko-o DK ny . Huku inenge yavhundutswa inorira ichiti goko-o .
gombero 	D- 	5 	z 		gombero D- z 5 . gango 5 .
gon'o 	KD 		ny 		gon'o KD ny . Kuti gon'o kugomara kunenge kwakaita demo, banga kana chimwe chekuchekesa.
gon'on'o 	D- 		ny 		gon'on'o D- ny . Kuti gon'on'o kugara munhu akatonona, achiratidza kuti haana zvekuita kana kuti ane nungo.
gondano 	D- 	5 	z 		gondano D- z 5 . mukarirano 3 .
gondoro 	DDK 		ny 		gondoro DDK ny . Kuti gondoro kurira sekunoita mugoro usina mvura unenge wagumwa nechimwe chinhu.
gondoro 	KDK 	5 	z 		gondoro KDK z 5 . Gondoro chigutsa chinenge chakapiswa panzvimbo inenge ichida kuzorimwa.
gongo 	D- 	5 	z 		gongo D- z 5 . Gongo kanyama kakamira pamusuo wesikarudzi yemunhukadzi. Gongo isikarudzi yomunhukadzi kana yemhuka hadzi. beche 5 .
gongondoro 	K- 		ny 		gongondoro gungunduru K- ny . Kuti gongondoro kurira kwemugoro kana dhiramu risina chinhu rinenge radonha.
gonho 	D- 	5 	z 		gonho D- z 5 . Gonho imbwa inenge isiri hadzi uye isiri handa.
gono 	D- 	9 	z 		gono D- z 9 . Gono zinyimo zihombe rinodema dzimwe nyimo musikiro.
gono 	K- 	5 	z 		gono K- z 5 . Gono imhuka yechirume inenge yakakura.
gonyo 	DK 	5 	z 		gonyo goyo DK z 5 . Gonyo igudo gadzi. mboi 9, mamutindi 6 .
gonzongo 	DDK 	5 	z 		gonzongo DDK z 5 . gavakava 5 .
goo 	DK 	5 	z 		goo DK z 5 . Goo iropa rinenge rakagwamba.
goriondo 	DKDD 	5 	z 		goriondo DKDD z 5 . Uyu muchero womuti unonzi mugoriondo.
goromondo 	DDKD 	5 	z 		goromondo DDKD z 5 . Iri ibarwe, nyimo kana nzungu yakakurisa kudarika zvainofanira kuva. Ungadya goromondo rebarwe woga ungapedza here? gonon'ono 5 .
goroondo 	K- 	5 	z 		goroondo K- z 5 . Ichi chimhuka chinongotyisa.
gosoro 	KKD 	5 	z 		gosoro KKD z 5 . Gosoro chirwere chinoita munhu, zvikuru kana achinzwa dzihwa, chinorwadzisa chifuva. chikosorwa 5 .
gotokoto 	K- 	5 	z 		gotokoto K- z 5 . gotora 5 .
govero 	D- 	5 	z 		govero D- z 5 . Govero inzvimbo inourayirwa chipfuyo kana mhuka nokugoviwa.
gukano 	DKK 	5 	z 		gukano DKK z 5 . gano 5 .
gumbidziro 	D- 	5 	z 		gumbidziro D- z 5 . Iyi ihari hombe inochengeterwa doro richizotorwa rava kuiswa muhari diki. mbidziro 9 .
gumbo 	D- 	5>6mak 	z 		gumbo D- z 5>6mak . Gumbo inhengo yemuviri wemunhu kana mhuka unoshandiswa pakufamba, inova ndiyo inotsika pasi. Mazuvano mbuya vane gumbo rinorwadza, saka vasiri kuuya kuchechi. tsiko 9 .
gumisiro 	KKD 	5 	z 		gumisiro KKD z 5 . Uku ndiko kumucheto wechinhu kana maperero echiitiko. mhedzisiro 9, magumo 6 .
gumo 	K- 	5 	z 		gumo K- z 5 . gumiso 5 .
gumogumo 	KDKD 	5 	z 		gumogumo KDKD z 5 . Uhwu uwandu hwezvipfuwo hunoshamisa.
gumururo 	KKKD 	5 	z 		gumururo KKKD z 5 . Iyi imari inopihwa mukadzi, yokutaurirwa kunzi arambwa. gupuro 5 .
