Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
chiposhi 	DKD 	7 	z 		chiposhi DKD z 7 . Chiposhi izita rinoreva chiverengwa chokutanga-tanga chinozotevera nechechipiri.
chipudzi 	DDK 	7 	z 		chipudzi DDK z 7 . Chipudzi rudzi rwederere rinoreba, rinodzvarwa rozodyiwa vana varo vari vanyoro kana kuti vaoma, uyezve riine mashizha matete anodyiwawo nevamwe. Kana usingadyi derere rechipudzi, hauzivi derere rinonaka.
chirakapiti 	DDDKK 	7 	z 		chirakapiti DDDKK z 7 . Iyi inyoka huru chaizvo.
chirapamapenzi 	DDDDKK 	7 	z 		chirapamapenzi DDDDKK z 7 . Uyu munhu anokwanisa kuranga chero munhu anonetsa zvokutadzwa navazhinji. Mambo akasarudza chirangamapenzi chejinda risina warinozeza. chiororo 7 .
chirei 	D- 	7 	z 		chirei D- z 7 . Chirei chinotemwa panoparadzana matavi makuru maviri, chichishandiswa kutakurisa zvinhu chichikwehwa nen'ombe. Chirei chinokonzera gukuravhu.
chirimi 	DKK 	7 	z 		chirimi DKK z 7 . Chirimi matauriro omunhu ane urema hwokutadza kunyatsodudza mamwe mavara ari mumutauro.
chirudzii 	KKDK 		bvunz 		chirudzii KKDK bvunz . Iri izwi rinoshandiswa kubvunza zviri kuitwa nomunhu uye kuti zvinorevei, kunyanya kana zviri zvinhu zvisina kufanira. Ko, nhai Chenge, chirudzii ichocho?
chirumbi 	D- 	7 	z 		chirumbi D- z 7 . chirungu 7 .
chisoti 	D- 	7 	z 		chisoti D- z 7 . Chisoti chipoka chedzimba dzakavakwa panhu pamwe. Dzimba dzomumapurazi dzakaita zvisoti zvisoti.
chisuri 	D- 	7 	z 		chisuri D- z 7 . Chisuri mweya unonhuhwa unobudiswa mudumbu momunhu nokumashure kwake. Chisuri chakanhuhwa zvakadzinga vanhu mumba.
chisuvi 	D- 	7 	z 		chisuvi D- z 7 . chiruvi .
chitaitai 	D- 	7 	z 		chitaitai D- z 7 . Aka kapembenene kanobhururuka kachibakidza kamoto, kanoramba kachiti kakambobaka kodzima, uye kanowanzoonekwa panguva yokunaya kwemvura. chin'ain'ai 7, chidwaidwai 7 .
chitambi 	DKD 	7 	z 		chitambi DKD z 7 . Chitambi kapepa kanotengeswa kuposvo, kozonamirwa patsamba somubhadharo wokuti veposvo vagofambisa tsamba iyoyo kuti izosvitswa kwaunoda. sitembi 9 . Chitambi igwaro rinopiwa kumunhu nehurumende kana apasa bvunzo yokuchaira dzimotokari. Kana uchichaira motokari usina chitambi unosungwa.
chiteshi 	DKD 	7 	z 		chiteshi DKD z 7 . Chiteshi inzvimbo inomira chitima kana bhazi, vanhu vachikwira kana kuburuka.
chiteveravashuzhi 	DDDDDKK 	7 	z 		chiteveravashuzhi DDDDDKK z 7 . Uyu munhu anongotevera chero vanhu vaaona asingafungisisi kuti zvakakodzera here.
chitivhiri 	DKDD 	7 	z 		chitivhiri DKDD z 7 . Apa ndepanotsikwa nemunhu kana achichovha bhasikoro.
chitokwani 	D- 	7 	z 		chitokwani chitukwani D- z 7 . Uyu mweya womunhu akafa unopfuta moto kumakuva.
chitovamapenzi 	DDDDKK 	1a 	z 		chitovamapenzi DDDDKK z 1a . Uyu munhu anokwanisa kugadzirisa zvinhu zvinenge zvichivhiringidza vanhu.
chitsinzinzi 	DKKK 	7 	z 		chitsinzinzi DKKK z 7 . Iri idutu reuswa hunenge huchikura panhu pamwe, hwakabatana.
chitsuyi 	DDK 	7 	z 		chitsuyi DDK z 7 . chiruvi 7 .
chitunzvi 	D- 	7 	z 		chitunzvi D- z 7 . Chitunzvi ishiri hadzi kana mhuka hadzi. nhunzvi 9 .
chiundudzi 	D- 	7 	z 		chiundudzi D- z 7 . Ichi chikonye chine mambava, chinopfukuta nyama, matehwe kana nyanga dzemhuka, zvinenge zvatsvetwa panzvimbo imwe kwenguva yakareba.
chiururwi 	DKDK 	7 	z 		chiururwi DKDK z 7 . Chipuka chinenge gurwe asi chisingadyiwi.
chivi 	K- 	7 	z 		chivi K- z 7 . chitadzo 7 .
chivindi 	D- 	7 	z 		chivindi D- z 7 . Chivindi ushingi hwakaoma hwokusatya kana chinhu. Sekai akaita chivindi chokuyambuka Save rwuzere. ushingi 14 .
chiviriviri 	DDKKD 	7 	z 		chiviriviri DDKKD z 7 . Urwu ruzha rwezvinhu zvakawanda zvinenge zvichimhanya. Hwai dzaiita chiviriviri kutiza chimbwamupengo.
chiwanzamhuri 	D- 	7 	z 		chiwanzamhuri D- z 7 . Urwu rudzi rweshiri yakaita diki, uye ine mavara anoyevedza. Chiwanzamhuri chinowanzorira chiri mutsanga.
chiwi 	DK 	7 	z 		chiwi DK z 7 . chitsuwa 7 . Chiwi vanhu vashomanane, vanogara voga vasingadyidzani navamwe. Vamwenyi vanogara vakaita chiwi kuitira kuchengetedza tsika dzavo.
chizezepasi 	DDDDK 	7 	z 		chizezepasi DDDDK z 7 . Aka kamuti kadiki kane mashizha akaita soomuzeze, asi kachiita mudzi unenge mbambaira pasi.
chizvi 	D- 	7 	z 		chizvi chinzvi D- z 7 . Chizvi munyama kana chimwewo chinhu chauinacho chinokushaisa munhu wokuroorana naye.
chokwadi 	KDK 	7 	z 		chokwadi KDK z 7 . Chokwadi ndiwo mamiriro chaiwo anenge akaita zvinhu, zvokuti kana kuri kuzvitaura ndiwo mabudiro azvinofanira kuitawo.
chouviri 	DKDD 	7 	z 		chouviri DKDD z 7 . Chouviri zvikwanisiro zvinodiwa kuti upenyu hwuenderere mberi zvakanaka. Kana pasina chouviri, kana mubhawa macho hamugarike.
chukasi 	KDD 	9>10 	z 		chukasi KDD z 9>10 . Chukasi musikana akanaka kana kuti anoyemurika. Ndakadiwa nechukasi, ikandibonderesa nerimwe fero pasina svondo mbiri.
chumi 	K- 	9>10 	z 		chumi K- z 9>10 . Chumi imari yekare yaiita mashereni gumi, yakazotsihwa nedhora. Kare vamwe vashandi vaitambiriswa chumi pamwedzi vachitadza kuipedza.
churi 	DK 		ny 		churi DK ny . Kuti churi ruzha runoitwa nechinhu chichiwira mumvura. Akakanda chitombo mutsime chikati churi.
dafi 	KD 	5 > 6 	z 		dafi KD z 5 > 6 . dacha .
dambi 	DK 	5 	z 		dambi DK z 5 . Dambi kuitika kwezvinhu zvisina matsananguriro zvinokatyamadza. nenji 5, shura 5, chisionekwi 7 .
danhi 	DK 		ny 		danhi danhu DK ny . Kuti danhi kusvetuka kubva pane imwe nzvimbo uchienda pane imwe.
dapi 	KD 	5>6 	z 		dapi KD z 5>6 . Dapi rudzi rwembeva hombe, yakakura kudarika dzimwe dzose, inogara pane unyoro.
datahwindi 	KKKD 	5 	z 		datahwindi KKKD z 5 . datanana 5 .
datsi 	DK 	5 	z 		datsi DK z 5 . Datsi chirwere chemaziso chinoita kuti uone zvinhu zvinenge zviri padyo chete.
datsi 	K- 	5 	z 		datsi K- z 5 . shizha 5 .
davi 	KD 	5>6 	z 		davi davhi KD z 5>6 . Davi inhengo yemiti inokura kubva pahunde. Mhepo yakavhuvhuta zvine simba, rimwe davi romuti rikawira pasi. dazu 5, mhandi 9 .
denderedzi 	KKDK 	5 	z 		denderedzi KKDK z 5 . dendenedzwa 5 .
devedzi 	D- 	5 	z 		devedzi D- z 5 . muteveri 3 .
Dhachi 	KD 	9 	z 		Dhachi KD z 9 . Dhachi isangano rokunamata rakauya muno richibva nokuSouth Africa.
dhadhari 	D- 		ny 		dhadhari D- ny . tatara .
dhai 	KD 	9>10 	z 		dhai KD z 9>10 . Dhai mushonga unoshandiswa kuchinja ruvara rwenhumbi kana micheka kana vhudzi.
dhambukosi 	KKDD 	9 	z 		dhambukosi KKDD z 9 . Uyu mushonga mutema unoiswa panheyo dzemba kuti munya ugorega kukwira nomudhuri.
dhani 	KD 	5 	z 		dhani KD z 5 . Dhani rudzi rwebhasikoro rinomiswa nokudzosera zvitiviri zvaro kumashure. peri 9 .
dhanzi 	KD 	5 	z 		dhanzi KD z 5 . Dhanzi kutamba mumhanzi uchifambisa muviri, une mumwe kana kuti uri wega, zvine urongwa hunotodzidzirwa.
dharameti 	DDKD 	5 	z 		dharameti dharamedhi DDKD z 5 . Uhwu unga hunoputika nesimba guru hunoshandiswa kutsemura matombo kana zvimwewo zvakaomarara. hora 9 .
dhaurosi 	KDDD 	5 	z 		dhaurosi KDDD z 5 . Iyi iwaya nhete inosevenzeswa kubatanidza pamwe chete zvinhu zvakaita samapuranga inozobviswa kana yapedza basa.
dhazeni 	KDD 	5 	z 		dhazeni dhauzeni KDD z 5 . Uhwu uwandu hwezvinhu zvinorongedzwa pamwe chete zvakafanana zvinosvika gumi nezviviri.
dhemeji 	KDD 	5 	z 		dhemeji KDD z 5 . Dhemeji imari inobhadharwa nomukomana anenge aitisa musikana pamuviri obva aramba kumuroora.
dheri 	KD 	5 	z 		dheri KD z 5 . Dheri ndepanochengetwa nokukamwa mombe dzomukaka.
dhesiki 	KDD 	5 	z 		dhesiki KDD z 5 . Dhesiki itafura inosevenzeswa kunyorerwa pamusoro payo, kunyanya muzvikoro nemumahofisi.
dhi dhi 	D- 		ny 		dhi dhi D- ny . Kuti dhi dhi kurova kunoita hana ichifambisa ropa.
dhibheti 	DKK 	5 	z 		dhibheti DKK z 5 . Dhibheti inhaurirano ine kukavadzana mukati kwemapoka maviri zviri mukati memusoro wenhaurirano. dhipeti 5 .
dhidhi dhidhi 	D- 		ny 		dhidhi dhidhi D- ny . Kuti dhidhi dhidhi kufamba zvine simba uchiita mutsindo. Kuti dhidhi dhidhi kurova kunoita hana wavhundusirwa kana kuti waneta nokumanya.
dhikauzi 	DKDD 	5 	z 		dhikauzi DKDD z 5 . Ichi chishongo chinopfekwa munzeve navanhukadzi kazhinji kacho.
dhimoni 	DKD 	5 	z 		dhimoni DKD z 5 . Dhimoni mweya wakaipa unogona kugara pamunhu uchimuitisa mabasa akaipa.
dhindi 	DK 		ny 		dhindi DK ny . Kuti dhindi kurira kunoita chinhu chine mukati makashama sengoma. Vane mashavi ekutamba vakangonzwa kuti dhindi, unoona vosimuka vachitamba. Kuti dhindi kugarika usina chaunoshaiwa.
dhindindi 	DKK 		ny 		dhindindi DKK ny . Kutidhindindi| kuwanda zvikuru kwezvinhu zvaunopiwa kana kupa.
dhindiriri 	DKDD 		kanu 		dhindiriri DKDD kanu . Iri izwi rinoshandiswa pakusika nyimo rinoita kuti nyakusika nyimo anzwe manyawi. zingiriri .
dhipifirizi 	KDDKD 	9 	z 		dhipifirizi KDDKD z 9 . Ichi chikamu chefiriji kana kuti firiji inotonhora zvikuru inogona kuchengeta chokudya kwenguva refu chakaomeswa kuita magodo echando.
dhireni 	DKD 	5 	z 		dhireni DKD z 5 . Dhireni inzvimbo yokurima inenge yakaganhurwa nemugero. Dhireni muhoronga unofamba nemvura unoganhuranisa panorimwa.
dhirezi 	DKD 	5 	z 		dhirezi DKD z 5 . Dhirezi chipfeko chirefu chinopfekwa navanhukadzi.
dhiri 	K- 		ny 		dhiri K- ny . Kuti dhiri kugadzika chinhu pasi uchinge unoregedzera. Akatora rongo renyama rinopisa ndokubva ariti dhiri pasi.
dhiripin'i 	DKDD 	9 	z 		dhiripin'i DKDD z 9 . Aya mafuta machena akabatana nokuomarara, anobva panyama yen'ombe.
dhiriri 	DKD 	5 	z 		dhiriri DKD z 5 . Dhiriri kufambisa muviri zvine urongwa nechinangwa chokuusimbisa, kazhinji muchitofora makawanda.
dhisikodhi 	DDKD 	5 	z 		dhisikodhi DDKD z 5 . Uku kuimba neizwi risingakodzerani neizwi rinenge richifanira pachinhano ichocho chorumbo.
Dhiyabhorosi 	DKDDD 	1a 	z 		Dhiyabhorosi DKDDD z 1a . Dhiyabhori 1a .
dhiziri 	KDD 	5 	z 		dhiziri KDD z 5 . Dhiziri mafuta akada kunotsvukuruka anoshandiswa kufambisa michina yakaita semotokari, marori kana zvitima.
dhomatiri 	KDDD 	5 	z 		dhomatiri dhometiri KDDD z 5 . Iyi imba huru inovata vanhu vakawanda, inowanikwa pakaita sepachikoro.
dhonanzi 	KDD 	5 	z 		dhonanzi KDD z 5 . Dhonanzi kudya kunobikwa nefurau, kunoiswa ruomba rune tsvigiri pakati.
dhudhubwi 	DDK 		ny 		dhudhubwi DDK ny . Kuti dhudhubwi ruzha runoitwa nemvura kana ichipinda nepane kamuromo kadiki. Chigubhu chakati dhudhubwi chichinyura mutsime.
dhunduveri 	KDDD 	5 	z 		dhunduveri dhunduvere KDDD z 5 . Ichi chinhu chihombe chaizvo.
di di di 	D- 		ny 		di di di D- ny . Kuti di di di mutsindo wezvinhu zvinenge zvichidonha kubva mudenga. Matamba aiita zvokuti di di di kuwa achizuziwa.
digi 	DK 		ny 		digi DK ny . Kuti digi kuita mutsindo kwekufamba uchipinda pane imwe nzvimbo.
-diki 	KD 		pr 		-diki KD pr . Chinhu chi diki hachina kukura kana kureba kana kuwanda.
dindindi 	K- 	5>6 	z 		dindindi K- z 5>6 . Dindindi hohwa hukuru hunowanzodyiwa hwamboomeswa.
dindiziri 	K- 				dindiziri K- . Kuti dindiziri kutomukira mudenga kungaita chinhu charovera pakaoma.
dinji 	K- 	5>6 	z 		dinji K- z 5>6 . Mat inji tunzeve tunowanikwa turi pamativi esikarudzi yechikadzi tunogona kureba kana tukadononzwa. gongo 5 .
dititi 	D- 	5 	z 		dititi D- z 5 . Dititi igurusvusvu ravanhu vanenge vachifamba pamwepo. diutiu 5 .
divi 	D- 	5>6 	z 		divi D- z 5>6 . Divi rimwe bandi rechinhu chimwe chete. rutivi 5, bandi 5 . Kana pane mafungiro akasiyana, divi rauri ndiro rine vanhu vaunotsigira.
dobi 	KD 		ny 		dobi KD ny . Kuti dobi kunonga chinhu nokukasika. Huku yakati tsanga yechibage nomuromo dobi.
dodorodzi 	KKKD 	5 	z 		dodorodzi dondorodzi KKKD z 5 . Iri ivara rinosara pahanzu ikange isina kudzumburudzwa zvakakwana. dodzi 5, doi 5 .
doi 	K- 	5 	z 		doi K- z 5 . dodorodzi .
domasi 	DKD 	5 	z 		domasi domato DKD z 5 . Domasi muchero unorimwa semumagadheni, unoibva uchitsvuka senhengeni, uchizoshandiswa kurunga muriwo kana nyama pakubika. buno 5, tomatisi 5 .
domborepasi 	DKKDK 	5 	z 		domborepasi DKKDK z 5 . Iyi inyembe yaipuwa madzishe namambo wavaRozvi.
doritori 	DKDD 	5 	z 		doritori DKDD z 5 . Uyu munhu anofarira kuita nharo pose pose.
doti 	KD 		kanu 		doti toti KD kanu . Doti inzwi rinoshandiswa kana munhu achibvuma zvaasina chokwadi nazvo.
dubwani 	D- 	5 	z 		dubwani duhwani D- z 5 . Dubwani ibundu guru rine mvura mukati, rinomera paunenge wapiswa. dukumbwa 5, dukutumbwa 5 .
dumbi 	DK 		ny 		dumbi DK ny . Kuti dumbi kushayiwa mufaro mushure mokugumburwa nechinhu. Vechikwata cheNyenganyenga vakanga vachiti dumbi, vadyiwa zvibozwa netimu yeNhengure.
dumbitumbi 	DKDD 	5 	z 		dumbitumbi DKDD z 5 . Uku kupatarika munhu achishaya kokutizira, akombwa nenjodzi.
dunhumadzi 	KKKD 	5>6 	z 		dunhumadzi KKKD z 5>6 . Iyi inzvimbo yakakwirira chaizvo mudunhu.
dunzvi 	D- 	5>6 	z 		dunzvi D- z 5>6 . Dunzvi imhuka hadzi yembudzi, nguruve kana mhene. Dunzvi munhu anomirira basa rose repabira.
duri 	DK 	5>6 	z 		duri DK z 5>6 . Duri mudziyo unogadzirwa nedanda guru rinocherwa gomba pakati, munozotswirwa nzungu, mupunga nezvimwewo.
dwi 	K 		ny 		dwi K ny . Kuti dwi kubudisa mweya neshure zvinonzwikwa karuzha, kazhinhji musure mokunge wamboedza kuti zvisaitika.
dywatywani 	KKD 	5>6 	z 		dywatywani dywadywati, jwajwati KKD z 5>6 . Dywadywani inzvimbo yakatenderedzwa nemapazi emiti akaoma, munovanda huku kana dzavhungwa negondo. jachachani 5 .
dzatitsati 	KDKD 	5 	z 		dzatitsati KDKD z 5 . Uku kuputika kunoita moto wehuni yakuchidzirwa choto. Uyu mushonga unoshandiswa kusimbisa musana womurume.
dzikitsiki 	K- 	5 	z 		dzikitsiki K- z 5 . Uyu munhu asingakwanisi kutarisa vanhu nokunyara zvaanenge akamboita.
dzitsi 	K 	5 	z 		dzitsi K z 5 . Dzitsi rezwi ndiro chokutanga chinoumba izwi racho. Dzitsi rechiito takaona ndi-on-.
dzuni 	K 	5 	z 		dzuni K z 5 . Dzuni kumonya-monya kwemudumbu kana zviya muchirwadza.
dzvi 	D 		ny 		dzvi D ny . Kuti dzvi kubata zvine simba.
dzvombi 	DK 	5 	z 		dzvombi DK z 5 . dzvinyu 5 .
dzvukamupiriviri 	DDDKDDD 	5 	z 		dzvukamupiriviri DDDKDDD z 5 . Iri izwi rokutuka rinoreva munhu ane ushava hwanyanyisa.
dzwitswitswi 	K- 	5 	z 		dzwitswitswi K- z 5 . Dzwitswitswi kapuka kanenge mudune kana mutswiri kanosvetuka parefu, uyezve kanodya tumwe tupuka.
ekani 	K- 		kanu 		ekani K- kanu . Tinoshandisa ekani kutenda zvikuru pane zvaunenge waitirwa. hekanhi .
ekanikani 	K- 		kanu 		ekanikani K- kanu . Iri izwi rinoshandiswa kuratidza kufara nezvaunenge wapihwa kana zvaunenge waitirwa.
emeredhi 	KDDD 	9 	z 		emeredhi KDDD z 9 . Iri idombo rine ruvara rwemashizha manyoro rinokosha zvikuru chaizvo.
evonyi 	DKD 		kanu 		evonyi evoni DKD kanu . evo .
ewo mhai 	KD KK 		kanu 		ewo mhai KD KK kanu . Tinoshandisa ewo mhai kutaura zvokuratidza kunzwira umwe munhu urombo. inde-e .
eyai 	DKK 		kanu 		eyai DKK kanu . ewoni .
eyanyi 	DKK 		kanu 		eyanyi DKK kanu . ewoni .
fachi 	KD 	5/9>6 	z 		fachi KD z 5/9>6 . Fachi mudziyo mukuru wakaita denderedzwa asi uine mativi akati tasa.
fai fai 	D- 		ny 		fai fai D- ny . Kana hari yati fai fai nemvura inenge yazara kusvika mumuromo chaimo.
faindi 	KDD 	9 	z 		faindi KDD z 9 . Faindi imari kana umwe muripo unobhadharwa kana munhu apara mhosva.
fakazi 	D- 	9>10 	z 		fakazi D- z 9>10 . mufakazi 1 .
fambi 	K- 	9>10 	z 		fambi K- z 9>10 . pfambi 9 .
fani 	KD 		dc 		fani KD dc . chaizvo .
fanzai 	KKD 		ny 		fanzai KKD ny . Kuti fanzai kutanga kuita utsi kwemvura, kana mukaka kana zvimwewo zvakadaro, pazvinenge zvoda kuvira.
fashai 	KKD 		ny 		fashai KKD ny . Kuti fashai kuteuka kana kurasikira kwezvinhu zvanga zvichivira.
fekitari 	KDDD 	9>6 	z 		fekitari KDDD z 9>6 . Iri ziimba zihombe, kana kuti dzimba dzakabatana, dzine michina yokugadzirisa zvinhu zvinobuda zvakawanda panguva imwe chete.
fenzi 	KD 	9>10 	z 		fenzi KD z 9>10 . Fenzi ruzhowa rwewaya inenge yakatenderedza nzvimbo. Kana musingadi zvokuswera muchifudza n'ombe, isai fenzi mapadhoki enyu ose.
fifi 	DK 	9 	z 		fifi DK z 9 . Fifi rudzi rwekamudzi kakakora kanodyiwa.
fikisi 	KDD 	9>10 	z 		fikisi KDD z 9>10 . Fikisi rudzi rwebhasikoro rinotenderedzwa cheni richienda mberi bedzi, rozomiswa nokutsika zvitivhiri uchidzorera kumashure. peri 9 . ANTONYMS firiwiri 9.
findi 	K- 	9 	z 		findi K- z 9 . rwatata 11 .
finini 	K- 		ny 		finini K- ny . Kana mvura iri pamoto yoda kuvira, inotanga kunzikwa kurira kuti finini .
finyi 	KD 	5 	z 		finyi KD z 5 . chisununu 7 .
finyinyi 	K- 		ny 		finyinyi K- ny . sinini . Kuti finyinyi kurira kunoita mvura iri pamoto kana yava kuda kuvira.
firifiti 	K- 	9 	z 		firifiti K- z 9 . Urwu rudzi rwehowa hune rukanda rwakatsvuka chaizvo. tsvuketsvuke 9 .
firiwiri 	DDKD 	9>10 	z 		firiwiri firuwiru DDKD z 9>10 . Urwu rudzi rwebhasikoro raunokwanisa kutenderedza cheni uchichovhera sure, asi iro rakamira kana kuti richitofamba kuenda mberi. ANTONYMS fikisi 9, peri 9.
fiti 	KD 	5>9/6 	z 		fiti KD z 5>9/6 . Fiti chierwa chourefu chinoenderana nemainjisi nemayadhi. Ndinoziva urefu hwangu nemafiti nemainjisi, kwete nemamita nemasendimita.
fodya yebveni 	KD DKD 	9 	z 		fodya yebveni KD DKD z 9 . Fodya yebveni rumwe rudzi rwehowa husingadyiwi.
fokasi 	KDD 	9 	z 		fokasi KDD z 9 . Kana kamera iri mu fokasi inenge yakanyatsoteya kuti zviri kutorwa mifananidzo zvinyatsoonekwa, uyezve kuti zvizonyatsobuda.
foni 	KD 	9>10 	z 		foni KD z 9>10 . runhare 11 .
foromani 	DKDD 	1a 	z 		foromani DKDD z 1a . Foromani ndiye anenge ari munhu mukuru anoudza vamwe vashandi zvokuita pabasa.
forosi 	KDD 	5 	z 		forosi KDD z 5 . Forosi imwe yemombe mbiri dzinenge dzichitungamirira pamberi dzakasungwa pachipani.
fosi 	KD 	9 	z 		fosi KD z 9 . Fosi ndokuya mberi kwechiwepu kana kuti tyava kwakarukirirwa, kusiri kumubato.
fudigi 	KKD 		ny 		fudigi KKD ny . Kuti fudigi kuvhara chimwe chinhu uchiita zvokuchifukidza.
funhi 	KD 		ny 		funhi KD ny . kwidiba .
-fupi 	KD 		pr 		-fupi KD pr . -pfupi .
furati 	DKD 	9 	z 		furati DKD z 9 . Ma furati dzimba dzokugara, dzinotova nemakamuri adzowo, asi idzo dziri mukati meimwe imba hombe, kazhinji kacho ichitova yemuturikidzwa.
furubheki 	KDDD 	1a 	z 		furubheki KDDD z 1a . Uyu mutambi wenhabvu anenge aine chinzvimbo chiri kumashure kwakadziva kugedhe, anoita basa rokudzivirira bhora kuti risaenda kundonwa.
furusitopi 	KDDDD 	9 	z 		furusitopi furusitopu KDDDD z 9 . chimiso .
fushi 	DK 		ny 		fushi DK ny . fuse .
futi 	KD 		dc 		futi KD dc . zvakare .
fuzi 	DK 				fuzi DK . Fuzi munhu akapusa anongoita zvose zvokufungirwa nokutungamirirwa iye achingotevera murima.
gadheni 	KDD 	9/5>6 	z 		gadheni KDD z 9/5>6 . gadhe 5 .
gadhi 	KD 	1a/5>2 	z 		gadhi KD z 1a/5>2 . Gadhi munhu anochengetedza nzvimbo kana vasungwa.
gai 	DK 	5 	z 		gai DK z 5 . gavi 5 .
gamanyuchi 	DDKK 	9 	z 		gamanyuchi DDKK z 9 . bonganyuchi 5 .
gambamukoikoi 	DDDKDKD 	5 	z 		gambamukoikoi DDDKDKD z 5 . gakanje 5 .
gambamwedzi 	KKDK 	5 	z 		gambamwedzi KKDK z 5 . gavamwedzi 5 .
gambi 	DK 		kanu 		gambi DK kanu . gambiswa .
gamhi 	DK 		ny 		gamhi DK ny . Kana munhu achiti gamhi anenge asinganyatsotsika zvakanaka, pamusana pekuti gumbo rake rinenge richirwadza.
gandi 	DK 	5 	z 		gandi DK z 5 . gokoko 5 .
gangai 	KKD 	5 	z 		gangai KKD z 5 . Kana vanhu vachiita gangai vanenge vachipopotedzana.
gangari 	K- 	5 	z 		gangari K- z 5 . Gangari chisimbi chepavhiri rebhasikoro panoiswa chubhu netayi.
garahundwi 	DDKD 	5 	z 		garahundwi garahundwe DDKD z 5 . Izvi zvinhu zvinomera mumvura isingaereri zvinenge shinda yakasungana, zvinotsvedzerera zvichisemesa, zviine ruvara rwemashizha manyoro. ukombwa 14 .
Garani 	KDD 	5 	z 		Garani garoni KDD z 5 . Garani chierwa chemvura chinoita marita mana nehafu.
gavamwedzi 	KKDK 	5 	z 		gavamwedzi KKDK z 5 . Uyu mwana anozvarwa mwedzi mipfumbamwe isati yakwana.
gazi 	DK 	5 	z 		gazi DK z 5 . ropa 5 .
gedhi 	KD 	5 	z 		gedhi gedhe KD z 5 . Gedhi inzvimbo yokupinda nayo panzvimbo inenge ine ruzhowa kana waya. Gedhi inzvimbo iri pakati pamapango maviri, inoshandiswa pakutamba bhora panova ndipo panomwiswa bhora.
gi 	D 		ny 		gi D ny . Kuti gi kurova zvine simba nechibhakera.
gi gi 	D- 		ny 		gi gi D- ny . Kuti gi gi kufamba uchirova pasi zvine ruzha mukati. Ndanzwa kuti gi gi kuseri kwemba, ndikaziwa kuti baba vasvika.
gidhi gidhi 	DK+ 		ny 		gidhi gidhi DK+ ny . Kuti gidhi gidhi kufamba kwemhuka kana munhu achirova pasi zvine ruzha mukati.
giredhi 	DKD 	5 	z 		giredhi DKD z 5 . Giredhi idanho rokudzidza kana kuti repabasa kubva pasi pokutanga kusvika pamusoro. Mwana wangu ava mugiredhi rechishanu. gwaro 5, danho 5 .
girei 	DKD 	9 	z 		girei DKD z 9 . Girei ruvara rwakaita sedota.
girevhi 	DKD 	5 	z 		girevhi DKD z 5 . Girevhi rudzi rwetuupfu tunoiswa mumuriwo kuti uite muto unonaka.
girini 	DKD 	9 	z 		girini DKD z 9 . Girini ruvara rwemashizha emiti mizhinji kana ari manyoro.
girizi 	DKD 	5 	z 		girizi DKD z 5 . girisi 5 .
girovhisi 	DKDD 	5 	z 		girovhisi girovhu, girovhosi DKDD z 5 . Iyi inhumbi inopfekwa mumaoko chigunwe chimwe nechimwe chiri mukmwena kacho. Kana usingadi kubatwa maoko nechando unopfeka magirovhisi.
godobori 	KKKD 	5 	z 		godobori godoboro KKKD z 5 . Iyi in'anga inenge iri nyanzwi chaizvo pabasa rayo rokushopera. homba homba 9 .
godzi 	K- 	1a 	z 		godzi K- z 1a . rukodzi 11 .
gorodhi 	KDD 	5 	z 		gorodhi KDD z 5 . goridhi 5 .
gotoori 	KKDK 	5 	z 		gotoori [gohori] KKDK z 5 . Urwu rudzi rwetsenza runoita muti une mazanhi akasvibarara.
gotsi 	D- 	5 	z 		gotsi D- z 5 . Gotsi kusure kwemusoro.
govedzi 	D- 	5 	z 		govedzi D- z 5 . Govedzi munhukadzi anorara navarume vakawanda achipiwa muripo. Govedzi rinokupa mukondombera ukarara naro. pfambi 9, hure 5 .
gozwi 	KD 		ny 		gozwi gozwa KD ny . Kana munhu ati gozwi anenge agara pakakwirira, kazhinji ari oga. Anga akati gozwi kugara pamudhuri.
gudubi 	DDK 		ny 		gudubi DDK ny . gurwi .
gudzazwi 	KDK 	5 	z 		gudzazwi KDK z 5 . Gudzazwi chimuchina chinoshandiswa nemunhu, kana achitaura nevanhu vakawanda, kuitira kuti izwi rake risvike kure.
gukuchi 	KKD 		ny 		gukuchi KKD ny . Kuti gukuchi kutakura zvinhu zvakaita chimwe chimwe, zvakawanda. Anga akati gukuchi manhanga nzungu, nyimo, chibage nepwa mumaoko ake.
gukurahundi 	KKDKK 	5 	z 		gukurahundi hukurahwindi KKDKK z 5 . Iyi imvura inowanzonaya kana vanhu vapedza kupura.
gukurwizi 	KKDK 	5 	z 		gukurwizi KKDK z 5 . Iyi ishiri inogara mumvura kana munzizi. hukurwuzu 9, nhapata 9 .
gumamiti 	DDDK 	5 	z 		gumamiti DDDK z 5 . Uyu munhu muhombe akasimba. hamburamakaka 9 .
gumbezi 	DKD 	5 	z 		gumbezi DKD z 5 . gumbeze 5 .
gumbi 	DK 	5 	z 		gumbi DK z 5 . Gumbi kanzvimbo kanenge kaine ruvara rwako kega pachinhu.
gumhikumhi 	DKDD 		ny 		gumhikumhi DKDD ny . gumhi .
gundamujai 	D- 	5 	z 		gundamujai D- z 5 . Izvi zvinhu zvakawanda zvinenge zvakangosangana.
