ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
dakanu 	KKD 		ny 		dakanu KKD ny . Kuti dakanu kudya zvishoma nezvishoma, uchinatsotererera kunaka kwacho kwese kwechaunenge uchidya.
danangu 	DDK 		ny 		danangu DDK ny . Kana munhu achidya achiti danangu anenge achiita seanosema zvinhu zvaari kudya.
dandara 	D- 		ny 		dandara D- ny . Kana dumbu rakati dandara rinenge rakazara uye richioneka kubudikira kunze. Kandumure kakadyisa mutakura wenyimo dumbu rikati dandara. tanana, shaku .
dandau 	KKD 		ny 		dandau KKD ny . Kuti dandau kuridza ngoma. Kuti dandau kuzvimba kana kufuta kunoitika panenge parohwa.
danhi 	DK 		ny 		danhi danhu DK ny . Kuti danhi kusvetuka kubva pane imwe nzvimbo uchienda pane imwe.
dano 	KD 		ny 		dano KD ny . Kuti dano kushayiswa zano nezvinenge zvaitika kana nedambudziko rinenge rakuwira. Imba zvayakawa ichangopedza kuvakwa, vanhu vakangoti dano nazvo. kapu . Kuti dano kushamiswa zvokuti unobva wangoshaya zvokuita. tuzu .
de 	K 		ny 		de K ny . Kuti de kutema munhu netsvimbo uchibva warova chaipo paunoda. Karikoga kakati Benyumundiro de netsvimbo pabvi.
debva 	KD 		ny 		debva KD ny . Mhuka kana munhu akati debva anenge ava kuwira pasi. Chidhakwa chakagumburwa chikati debva mumadhaka.
dedema 	D- 		ny 		dedema D- ny . Kana wakati dedema unenge wakagara wakarerekera musoro shure, kana kuti wakarara nomusana. Harahwa yakanga yakarara yakati zvayo dedema nomusana pamushana. gaga .
dedemu 	KKD 		ny 		dedemu KKD ny . Kana uchitaura uchiti dedemu unenge usingakakamiri uchitaura pasina kutya. Chapupu chakati dedemu zvose zvachaiziva maererano nezvokufa kwaErina, mutongi akagutsurira musoro.
demwa demwa 	KD+ 		ny 		demwa demwa KD+ ny . Kuti demwa demwa kuita chinhu chakaita sokufamba kana kutaura uchizvida, uye uchinonokera kuti uonekwe.
dendema 	KKD 		ny 		dendema KKD ny . Kana wakati dendema unenge wakagara musana wakati twii. n'o .
dendere 	K- 		ny 		dendere K- ny . Munhu akati dendere nenzira anofamba achingotevedza iyo chete asingatsauki. Mai pavakaona mwana odziya muviri, vakamubereka ndokuti dendere nenzira yokuchipatara.
denenga 	KKD 		ny 		denenga KKD ny . Kana wakati denenga unenge wakamira, asi uchinge unonetseka nokumira kwacho.
denengu 	KKD 		ny 		denengu KKD ny . Kana uchiti denengu unenge uchirondedzera zvinhu zvose nemazvo, usingakakamiri.
denga 	DK 		ny 		denga DK ny . Kana uchiti denga unenge wafamba wakananga nzvimbo imwe chete. Paakanzwa mhere akabva ati denga nenzira akanangako.
denga denga 	DK+ 		ny 		denga denga DK+ ny . Kana chinhu chichiti denga denga chinenge chichida kugadzikana, chichinge choda kupunzikazve. zenga zenga .
dengu 	D- 		ny 		dengu D- ny . Kuti dengu kunyura nokuyangarara pamusoro pemvura kwechunhu chisingaremi. Ukanyudza patapata mumvura, unoona rati dengu pamusoro.
denhe 	DK 		ny 		denhe DK ny . denhu .
denyu 	KD 		ny 		denyu KD ny . Kuti denyu kunyangarika chiriporipocho uye zvachose.
deu 	KD 		ny 		deu KD ny . Kana mvura yati deu inenge yabuda mayakachengeterwa ichienda pasi. teu .
deva deva 	DK+ 		ny 		deva deva DK+ ny . Kuti deva deva kufamba zvishoma uchinyatsosimudza gumbo rimwe nerimwe.
dha 	D 		ny 		dha D ny . Kuti dha kudimbuka kwechinhu changa chakabatana. Tambo yechiredzo yakati dha kudambuka pandakabata hove huru.
dhadhari 	D- 		ny 		dhadhari D- ny . tatara .
dhambanu 	D- 		ny 		dhambanu D- ny . dhadhanu. .
dhana dhana 	KD+ 		ny 		dhana dhana KD+ ny . Kuti dhana dhana kufamba sezvinoita mwana achangotanga kufamba, uchisimudza gumbo rimwe chete panguva imwe chete.
dhege 	DK 		ny 		dhege bhege DK ny . Kuti dhege kuwira pasi kwechinhu chinorema chichiputsika kuita zvipandi. Kuti dhege kubika kudya kwakawanda zvikuru.
dhemu 	D- 		ny 		dhemu D- ny . Kuti dhemu kurova nechibhakera zvine simba, chinhu chakaita sebwe.
dhi dhi 	D- 		ny 		dhi dhi D- ny . Kuti dhi dhi kurova kunoita hana ichifambisa ropa.
dhidhi dhidhi 	D- 		ny 		dhidhi dhidhi D- ny . Kuti dhidhi dhidhi kufamba zvine simba uchiita mutsindo. Kuti dhidhi dhidhi kurova kunoita hana wavhundusirwa kana kuti waneta nokumanya.
dhiga 	KD 		ny 		dhiga KD ny . Kuti dhiga kuisa pasi chinhu chinorema usina hanya, kazhinji uchinge watsamwa. Mukadzi akati mwana pasi dhiga, ndokutanga kukunga zvibhakera.
dhigu dhigu dhigu 	DK+ 		ny 		dhigu dhigu dhigu DK+ ny . Kana chimudhudhudhu chichiti dhigu dhigu dhigu chinenge chichitinhira.
dhindi 	DK 		ny 		dhindi DK ny . Kuti dhindi kurira kunoita chinhu chine mukati makashama sengoma. Vane mashavi ekutamba vakangonzwa kuti dhindi, unoona vosimuka vachitamba. Kuti dhindi kugarika usina chaunoshaiwa.
dhindindi 	DKK 		ny 		dhindindi DKK ny . Kutidhindindi| kuwanda zvikuru kwezvinhu zvaunopiwa kana kupa.
dhiri 	K- 		ny 		dhiri K- ny . Kuti dhiri kugadzika chinhu pasi uchinge unoregedzera. Akatora rongo renyama rinopisa ndokubva ariti dhiri pasi.
dhovho 	DK 		ny 		dhovho DK ny . Kuti dhovho kuboora chinhu chakapfava neseri. Zimunzwa rakati dhovho richipinda mugaka.
dhu dhu dhu 	K- 		ny 		dhu dhu dhu K- ny . Kuti dhu dhu dhu ruzha runogona kuitwa nemvura ichibuda nepakamanikidzana. Mvura yakati dhu dhu dhu ichibuda mudende.
dhubvu 	DK 		ny 		dhubvu dhuvhu DK ny . Kuti dhubvu ruzha runoitwa nemvura kana uchiichera nemukombe kana nezvimwewo.
dhudhubwi 	DDK 		ny 		dhudhubwi DDK ny . Kuti dhudhubwi ruzha runoitwa nemvura kana ichipinda nepane kamuromo kadiki. Chigubhu chakati dhudhubwi chichinyura mutsime.
dhururu 	D- 		ny 		dhururu D- ny . Kana chinhu chati dhururu chinge chaita mutsindo mukuru, kufanana newemudhuri uri kuwondomoka.
di di di 	D- 		ny 		di di di D- ny . Kuti di di di mutsindo wezvinhu zvinenge zvichidonha kubva mudenga. Matamba aiita zvokuti di di di kuwa achizuziwa.
difa 	DK 		ny 		difa DK ny . Kuti difa kufonyokera musana kunoitwa navanhu vakura, vasisagone kufamba vakati tasa.
diga diga 	KD+ 		ny 		diga diga KD+ ny . Kuti diga diga kufamba zvine simba guru uchiita mutsindo.
digi 	DK 		ny 		digi DK ny . Kuti digi kuita mutsindo kwekufamba uchipinda pane imwe nzvimbo.
dimbu 	KD 		ny 		dimbu KD ny . Kuti dimbu kuregedzana kunoita tambo kana yakakatwa nesimba.
do do 	D- 		ny 		do do D- ny . Kuti do do kudonha kunoita mvura ine madonhwe makuru kana michero.
dobi 	KD 		ny 		dobi KD ny . Kuti dobi kunonga chinhu nokukasika. Huku yakati tsanga yechibage nomuromo dobi.
dodorodo 	D- 		ny 		dodorodo D- ny . Kana munhu achiti dodorodo anenge achisvika panhu zvisingafungirwe. vhu . Kuti dodorodo kusvika pane chawanga uchishuva kuwana.
dona dona 	DK+ 		ny 		dona dona DK+ ny . Kuti dona dona kufamba munhu akatwasanudza mutsipa setwiza.
dova dova 	KD+ 		ny 		dova dova KD+ ny . Kuti dova dova kufamba zvinyoronyoro.
du du du 	K- 		ny 		du du du K- ny . Kuti du du du kutsenga zvinhu zvakaoma senyimo dzakakangwa dzikaomeswa. bubundu .
dudu dudu 	K- 		ny 		dudu dudu K- ny . Kuti dudu dudu kufamba munhu akakotamira mberi, achizvivanza kuti asaonekwe navamwe.
duku 	D- 		ny 		duku D- ny . Kuti duku kunyarara munhu akangotarisa zvinoitwa. Musikana akasara akati duku chikomba chatorwa navakangwara. bwai .
dumbi 	DK 		ny 		dumbi DK ny . Kuti dumbi kushayiwa mufaro mushure mokugumburwa nechinhu. Vechikwata cheNyenganyenga vakanga vachiti dumbi, vadyiwa zvibozwa netimu yeNhengure.
dunguru dunguru 	DDK DDD 		ny 		dunguru dunguru DDK DDD ny . Kuti dunguru dunguru kufamba mumutsetse.
dunzu 	KD 		ny 		dunzu danzu KD ny . Kuti dunzu kuruma shizha kana kurikakata richidambuka.
dwi 	K 		ny 		dwi K ny . Kuti dwi kubudisa mweya neshure zvinonzwikwa karuzha, kazhinhji musure mokunge wamboedza kuti zvisaitika.
dya dya dya 	D- 		ny 		dya dya dya D- ny . Kuti dya dya dya kumhanya kunoita mhuka huru ichiita mutsindo.
dyu 	K 		ny 		dyu K ny . Kuti dyu kubaya nemunzwa kana kuti nejekiseeni. Mwana akanzi dyu jekiseni regwirikwiti.
dza 	K 		ny 		dza K ny . nama .
dzadzara dzadzara 	D- 		ny 		dzadzara dzadzara D- ny . Kuti dzadzara dzadzara kutadza kufamba zvakarurama, kunyanya kana munhu akadhakwa. pera pera .
dzaka dzaka 	KD+ 		ny 		dzaka dzaka KD+ ny . Kuti dzaka dzaka kufamba komwana mudiki ari kutotanga kufamba.
dzaku 	DK 		ny 		dzaku DK ny . dzadzu .
dzamarama 	K- 		ny 		dzamarama K- ny . Kuti dzamarama kuteverera chinhu kusvikira kumagumo.
dze dze dze 	D- 		ny 		dze dze dze D- ny . Kuti dze dze dze kutadza kufamba zvakanaka komunhu anenge akatakura zvinhu zvinorema.
dzidzimu 	D- 		ny 		dzidzimu D- ny . Kuti dzidzimu kumuka kwemunhu anenge amboziya kana asisazivi zvaari. Akarohwa nezvousiku akazoti dzidzimu apfungaidzirwa mushonga.
dziu 	DK 		ny 		dziu DK ny . Kuti dziu kuvhura mukova kana chimwewo chine muvharo. Kuti dziu kungoerekana wapepuka kubva muhope.
dziva dziva 	KD+ 		ny 		dziva dziva KD+ ny . Kuti dziva dziva kufamba zvishoma nezvishoma, munhu uchitsvaga chimwe chinhu,uchitaridzika sokunge wakarasika mufungwa.
dzokono 	DKD 		ny 		dzokono DKD ny . dzoke .
dzu dzu dzu 	K- 		ny 		dzu dzu dzu K- ny . Kuti dzu dzu dzu kuruma kunoita tumbuyu tudiki twakaita seutunga. n'a n'a n'a .
dzundu 	DK 		ny 		dzundu DK ny . Kuti dzundu kutema sora nebadza.
dzvaru 	DK 		ny 		dzvaru DK ny . Kuti dzvaru kutakura chinhu uchichiisa pafudzi.
dzvatsu 	KD 		ny 		dzvatsu KD ny . Kuti dzvatsu kuonana kana kuzivana nomunhu musingazvifungiri. Amai vakati mwana wavo dzvatsvu akatobata mari yokuba.
dzvi 	D 		ny 		dzvi D ny . Kuti dzvi kubata zvine simba.
dzvoko 	DK 		ny 		dzvoko DK ny . Kuti dzvoko kutarisa munhu uchiratidza kuti washatirwa kana kuti haumufariri, uye usingabvisi ziso paari.
dzvongo 	KD 		ny 		dzvongo KD ny . Kuti dzvongo kuminama pane imwe nzvimbo kwechinhu chakaita sedanda.
dzvutu 	D- 		ny 		dzvutu D- ny . Kuti dzvutu kuburitsa maziso asi usinganyatsoona zvaunenge wakatarisa, sezvinonzi uri kurota.
-ema-ema 	D 		ny 		-ema-ema D ny . Ku ema-ema kuchema zvisina musoro, zvisinganzwisisike.
fa 	D 		ny 		fa D ny . Kuti fa kubuda kwemweya sezvinoita taira kana raponja. Kuti fa kuzadza mudziyo mudiki nechinhu chakaita semvura.
fa fa 	D- 		ny 		fa fa D- ny . Kana ukadira mvura kana mushonga uchiti fa fa , unenge uchiita zvokumwaya uchikurumidza.
fa-a 	D 		ny 		fa-a D ny . Kuti fa-a kutanga kuvira kana kufashaira kwemvura, kana zvimwewo zvinoti kana zvaiswa pamoto zvinovira. Kana mukaka wauri kudziyisa uyo wangoti fa-a, ibva waubura usati wafashaira uchiteukira mumoto. fanzai . Kana ukaramba uchidira mvura kana mushonga kana pendi uchiti fa-a , unenge uchishandisa pombi kana mumwewo mudziyo wokumwayisa. Kana munhu akagara akati fa-a anenge akasununguka, achiratidza kufara, asina zvinomunetsa mupfungwa.
fadhamu fadhamu 	KKD+ 		ny 		fadhamu fadhamu KKD+ ny . Kana munhu achiti fadhamu fadhamu kufamba anenge achikanda nhano refu, senge zviya ashatiriswa.
fai fai 	D- 		ny 		fai fai D- ny . Kana hari yati fai fai nemvura inenge yazara kusvika mumuromo chaimo.
faka faka 	D- 		ny 		faka faka D- ny . Kuti faka faka kuwandisa kwezvinhu, mhuka kana vanhu.
fakanya 	D- 		ny 		fakanya D- ny . fakafaka . Kuti fakanya kuratidza kufara kana kusava nezvinokunetsa.
fambe 	KD 		ny 		fambe fambei KD ny . Kana ukangoti fambe unenge waenda asi usati wasvika kure.
famvama 	KKD 		ny 		famvama KKD ny . Kuti famvama kukotamira mberi kwako, maoko akabata pamabvi.
fangavaya 	KKDD 		ny 		fangavaya KKDD ny . tuzu .
fangu 	DK 		ny 		fangu DK ny . Kuti fangu kuwedzera kumhanya kwaunenge uchiita nebhasikoro, motokari kana mumwewo mudziyo wokufambisa. Kuti fangu kurova munhu kumeso nechibhakera.
fanzai 	KKD 		ny 		fanzai KKD ny . Kuti fanzai kutanga kuita utsi kwemvura, kana mukaka kana zvimwewo zvakadaro, pazvinenge zvoda kuvira.
farandanda 	D- 		ny 		farandanda D- ny . Kuti farandanda kupararira kwezvinhu panzvimbo yakakura. Mbudzi dzaiva dzakati farandanda mugura. kayaya .
farara 	D- 		ny 		farara D- ny . Kana zvinhu zvakati farara zvinenge zvakawanda zvakapararira nzvimbo huru.
faratata 	D- 		ny 		faratata forototo D- ny . Kuti faratata kubuda kwemweya zvishoma nezvishoma, sezvinoita taira rine ponji duku. Kuti faratata kufa kunoita munhu achiita zvishoma nezvishoma kusvikira asisafemi.
faru 	KD 		ny 		faru KD ny . Kuti faru kungoerekana waratidza mufaro mukuru.
fasha 	D- 		ny 		fasha D- ny . Kuti fasha kuzadza mudziyo nezviyo kana mvura zvokutorasikira. Akadira mapfunde mugokoko rikazara kuti fasha. Kuti fasha kunwa chinwiwa, uchibva wangochipedza zvokutokutura mudziyo wauri kunwira wacho. Zvawava kuda kutoti gaba remahewu rose fasha, ko ini ndozonweiwo?
fashai 	KKD 		ny 		fashai KKD ny . Kuti fashai kuteuka kana kurasikira kwezvinhu zvanga zvichivira.
fashu 	KD 		ny 		fashu KD ny . fashanu . fashai .
fatarata 	D- 		ny 		fatarata D- ny . Kuti fatarata kudonha wapingwa nechimwe chinhu.
fava 	D- 		ny 		fava D- ny . Kuti fava kurara pasi nedumbu.
favava 	D- 		ny 		favava D- ny . Kuti favava kurara zvokuratidza kuti wakagarika, hapana zvinokunetsa. Kuti fava va kuhwanda pane imwe nzvimbo isiri nyore kuti uonekwe.
fe fe 	D- 		ny 		fe fe D- ny . Kana munhu achisvuta fodya yebute nomumhino, kana kudzorera dzihwa mukati memhino, anoita ruzha rwokuti fe fe .
fe-e 	D 		ny 		fe-e D ny . Kuti fe-e kudonha kunoita mvura zvishoma zvishoma.
fe-e 	D- 		ny 		fe-e D- ny . Kuti fe-e kufuridza kunoita kamhepo kanenge kachitonhorera. Kuti fe-e kubuda kunoita mweya muvhiri.
fe-e 	K 		ny 		fe-e K ny . Kana kamhepo kana mweya uchibuda pakamanikidzika, kunonzwika ruzha runoti fe-e . Kuti fe-e kufema.
fefemu 	D- 		ny 		fefemu fefenu D- ny . Kuti fefemu kubvisa ganda romuchero wakaita seranjisi, kana kuti rembambaira kana mbatatisi yakabikwa.
fefemu 	KKD 		ny 		fefemu KKD ny . Kana munhu akazoti fefemu anenge amuka kana kupona, iye ambenge afenda kana kurwarisa zvokutenge anga afa. pepu .
feferu 	D- 		ny 		feferu D- ny . Kuti feferu kuzvimba.
fekeshe fekeshe 	D- 		ny 		fekeshe fekeshe D- ny . Kana uchifamba mujecha unoita musindo unoti fekeshe fekeshe . zhaka zhaka .
feku 	D- 		ny 		feku D- ny . Kuti feku kuzvimba.
feku 	KD 		ny 		feku KD ny . Kuti feku kukudza mhino uchizviitisa. fengu .
femu 	D- 		ny 		femu D- ny . Kuti femu kukura muviri iwe wobva wafuta zvakanyanya. feru . Kuti femu kucheka uchibvisa chidimbu. fendu .
fendu 	DK 		ny 		fendu DK ny . Kuti fendu kubuda kwezvirimwa panguva imwe chete, zvakawanda. Kuti fendu kucheka kana kubvisa chidimbu kubva pane chimwe chinhu.
fenenge 	KKD 		ny 		fenenge KKD ny . Kuti fenenge kumira wakadzorera dumbu mukati, mushure mokufema uchiburitsa mweya unenge uri mumuviri. fetu .
fenyeu 	KKD 		ny 		fenyeu KKD ny . Kuti fenyeu kuvhura sikarudzi yomukadzi. panyangu .
fere fere 	D- 		ny 		fere fere D- ny . Kana mhepo ichiti fere fere inenge ichifuridza zvishoma yombomira, yofuridza zvakare yombomira.
ferengu 	DDK 		ny 		ferengu DDK ny . Kuti ferengu kuveza mukati uchiita kuti mukure nokubudisa zvirimo.
ferere 	K- 		ny 		ferere K- ny . Kuti ferere ruzha runoita mweya une simba, kana kuti mhepo ichipfuura kana kubuda pamudziyo wakashama, sezvakaita mugomo.
feru 	D- 		ny 		feru D- ny . Kana munhu ati feru anenge ava kuzvimba kana kufuta muviri wose. Kuti feru kutanga kuvira kwezvinhu zvinenge zviri pamoto.
fetenga 	KKD 		ny 		fetenga KKD ny . fenenga .
fetete 	K- 		ny 		fetete K- ny . Kuti fetete kuridza muridzo wekambo kakanyorovera.
fetya 	KD 		ny 		fetya KD ny . Kuti fetya kugara pasi musana wakakombama sezvinoita tsoko.
fetya fetya 	KD+ 		ny 		fetya fetya KD+ ny . Kuti fetya fetya kufamba uchiratidza kuzvida, wakakombamisa musana nokurembedza maoko.
fida 	KD 		ny 		fida KD ny . Kuti fida kushandura uso hwako pekarepo uchiratidza kusafara. defa . Kana kunze kukati fida kunenge kwashanduka mamiriro, kwaipa.
findimwa 	KKD 		ny 		findimwa KKD ny . kwirindindi .
finhu 	KD 		ny 		finhu KD ny . Kana munhu ati finhu anenge ashandura uso hwake achiratidza kutsamwa.
finini 	K- 		ny 		finini K- ny . Kana mvura iri pamoto yoda kuvira, inotanga kunzikwa kurira kuti finini .
finyinyi 	K- 		ny 		finyinyi K- ny . sinini . Kuti finyinyi kurira kunoita mvura iri pamoto kana yava kuda kuvira.
fiyo 	KD 		ny 		fiyo KD ny . Kana tayira richinge raita kaburi rinobudisa mweya uchinzikwa kuti fiyo .
fo-o 	D 		ny 		fo-o D ny . Kuti fo-o kubuda kunoita mweya wakawanda uchitonzikwa, sezviya zvingaita chubhu yatsemuka.
fo-o 	K 		ny 		fo-o K ny . Kana mvura yava kuda kutanga kuvira inoita karuzha kokuti fo-o . Kuti fo-o kukurumidza kubika zvokuti unobva wangopedza pakarepo. fu-u .
fodo 	KD 		ny 		fodo KD ny . Kuti fodo kutswinya munhu chaizvo zvinorwadza.
fombo 	DK 		ny 		fombo DK ny . Kana ukati chimwe chinhu fombo unenge uchichera nechomukati. Kuti fombo kunombora chinhu chakaita sedovi kana mafuta.
fondo 	KD 		ny 		fondo KD ny . Kuti fondo kukotama, sezviya zvaungaita kana uchisakura.
foonyo 	KKD 		ny 		foonyo KKD ny . foono .
fototo 	D- 		ny 		fototo D- ny . Kana mwoto ukati fototo unenge wava kudzima.
fotyo 	D- 		ny 		fotyo D- ny . potyo .
fovo 	DK 		ny 		fovo DK ny . Kuti fovo kusvava kunoita chinhu changa chiri chinyoro sembatata.
fovoto 	D- 		ny 		fovoto D- ny . Kana chinhu chati fovoto chinenge chapfava zvokuratidza kuda kuora.
fozo 	DK 		ny 		fozo pfozo DK ny it . Kuti fozo kudonha kubva panzvimbo yakakwirira chaizvo.
fu 	K/D 		ny 		fu K/D ny . Kuti fu kufuridza kunoita munhu mhino dzake kana achifura dzihwa.
fu-u 	D 		ny 		fu-u D ny . Kuti fu-u kudziyisa zvakare chinhu changa chambotonhora. Kuti fu-u kushinyira kunoita mvura kana chimwe chinhu chinenge chichivira pamwoto.
fudigi 	KKD 		ny 		fudigi KKD ny . Kuti fudigi kuvhara chimwe chinhu uchiita zvokuchifukidza.
fufumu 	D- 		ny 		fufumu D- ny . Kuti fufumu kuzvimba kunoita imwe nzvimbo pamuviri. tuku . Kuti fufumu kusumuka kunoita mvura iri murwizi. tuku .
fugu 	KD 		ny 		fugu fuku KD ny . fuku .
fukata 	KKD 		ny 		fukata KKD ny . Kana ukati munhu fukata unenge wamufuratira. mbunde .
fuku 	DK 		ny 		fuku DK ny . Kana ukati ivhu fuku unenge wariteta nemaoko.
fuku fuku 	K- 		ny 		fuku fuku K- ny . Kana huku yambozvizunza bukuta, manhenga ayo anozoti fuku fuku kugadzikana.
fumu 	KD 		ny 		fumu KD ny . Kana ukati munhu fumu unenge wamunyadzisa paruzhinji.
fundu 	DK 		ny 		fundu DK ny . Kuti fundu kuzvimbira kunze kwechinhu chinenge chisina kuenzana nezvimwe zvacho.
funduma 	KKD 		ny 		funduma KKD ny . fundumwa .
fundundu 	D- 		ny 		fundundu D- ny . Kuti fundundu kusimudza musana kana nyundwa, sezvinoita mhuka inenge yashatirwa.
funhi 	KD 		ny 		funhi KD ny . kwidiba .
funhu 	KD 		ny 		funhu KD ny . kudubu .
funya 	D- 		ny 		funya D- ny . Kuti funya kusunga kana kuti kuunyanisa kumeso.
furu 	DK 		ny 		furu DK ny . Kuti furu kubvisa mashizha pagwere uchikurumidza.
fushi 	DK 		ny 		fushi DK ny . fuse .
fushunu 	KKD 		ny 		fushunu KKD ny . Kuti fushunu kubuda kana kubudiswa kunze kunoita zvinhu zvakawanda panguva imwe cheteyo, sezvakaita masvosve. fuzhunu .
fushunu fushunu 	D- 		ny 		fushunu fushunu D- ny . Kuti fushunu fushunu kuchera mwena, sezvinoita mbeva ichibudisa ivhu panze.
fusu 	KD 		ny 		fusu KD ny . Kuti fusu kusvetukira kumashure, iwe wanga usati wanyatsomira zvakanaka.
futu 	D- 		ny 		futu D- ny . Kuti futu kungoerekana munhu afa kana kuti mhuka yafa. Kuti futu kungoerekana chinhu chapera mweya, senge bhora kana vhiri.
fututu 	D- 		ny 		fututu D- ny . Kuti fututu kukura kwechinhu chisina kunyatsotsindirwa kana kutsimbirirwa. Kuti fututu kunyarara kwemunhu anenge atsamwiswa.
fuzhunu 	KKD 		ny 		fuzhunu KKD ny . -fushunu .
ga 	D 		ny 		ga D ny . Kuti ga kudonha kubva pakakwirira kuenda pakadzirira musoro uri pasi, zvokuti ndiwo unotanga kurovera pasi.
ga 	K- 		ny 		ga K- ny . Kuti ga kutema chinhu nedemo kana nechimwe chinhu chinotema.
ga ga ga 	K- 		ny 		ga ga ga ge ge ge K- ny . Kuti ga ga ga kuseka nezwi riri pamusoro, kunoratidza kufara kukuru. Akabva ati ga ga ga kuseka paakanzi adanane nemusikana waakanga asingadi.
gabhu 	DK 		ny 		gabhu DK ny . bhagu .
gabu 	KD 		ny 		gabu kabu KD ny . Kuti gabu kurova zvine simba nechibhakera. Kuti gabu kutunga kunoita mombe nenyanga pakurwa.
gada gada 	KD+ 		ny 		gada gada KD+ ny . Kuti gada gada kufamba wakamisa musoro mudenga.
gadaga gadaga 	D- 		ny 		gadaga gadaga D- ny . Kuti gadaga gadaga kufamba zvinoita kuti vanhu vakutarise vachikuyeva.
gadya 	DK 		ny 		gadya DK ny . Kuti gadya kumedza zvinhu zvakaita mvura, huro ichinzwika kurira.
gadza 	D- 		ny 		gadza D- ny . Kuti gadza kutsveta pasi zvinyoronyoro chinhu chambenge chakasimudzwa.
gadzakata 	D- 		ny 		gadzakata D- ny . Kuti gadzakata kutsveta chinhu nenzira yokuti hachipunzikiri pasi.
gaga gaga 	DK+ 		ny 		gaga gaga DK+ ny . Kuti gaga gaga kudonha kwemadonhwe emvura iri kutanga kunaya. dodo dodo .
gagadu 	KKD 		ny 		gagadu KKD ny . Kuti gagadu kuruma chimedu chiduku kubva pachinhu chakaomarara.
gamhi 	DK 		ny 		gamhi DK ny . Kana munhu achiti gamhi anenge asinganyatsotsika zvakanaka, pamusana pekuti gumbo rake rinenge richirwadza.
gamu 	DK 		ny 		gamu DK ny . Kuti gamu kutambira chinhu munhu achizvininipisa.
gan'u 	KD 		ny 		gan'u KD ny . Kuti gan'u kuruma chekudya chinenge chakaomarara.
gangara 	K- 		ny 		gangara K- ny . Kuti gangara kuva pamhene zvakanyanya. Makore zvaakapera mwedzi wakasara wakati gangara.
gangavata 	D- 		ny 		gangavata D- ny . Kana chinhu chakati gangavata chinenge chiri pachena pachinooneka.
garagada 	D- 		ny 		garagada D- ny . Kuti garagada kukwira pamusoro pechimwe chinhu chakakwirira.
gare gare 	DK+ 		ny 		gare gare DK+ ny . Kuti gare gare kureva kanguva kadikidiki mushure mechimwe chiitiko. Mvura yanaya tangoti gare gare vaenda.
gede gede 	DK+ 		ny 		gede gede DK+ ny . gede .
geje 	DK 		ny 		geje gedye DK ny . gede .
genen'ene 	K- 		ny 		genen'ene K- ny . Kuti genen'ene kuuya kwechiedza nokukasika panzvimbo pambenge pasina chiedza. Zuva zvarati genen'ene chinikai chimera.
geru 	DK 		ny 		geru DK ny . Kuti geru kucheka bvudzi, kazhinji nechigero.
gi 	D 		ny 		gi D ny . Kuti gi kurova zvine simba nechibhakera.
gi gi 	D- 		ny 		gi gi D- ny . Kuti gi gi kufamba uchirova pasi zvine ruzha mukati. Ndanzwa kuti gi gi kuseri kwemba, ndikaziwa kuti baba vasvika.
gidhi gidhi 	DK+ 		ny 		gidhi gidhi DK+ ny . Kuti gidhi gidhi kufamba kwemhuka kana munhu achirova pasi zvine ruzha mukati.
go go go 	D- 		ny 		go go go D- ny . Kuti go go go kudhonera kwemvura kana zvimwevo panzvimbo imwe chete. dho dho dho .
