a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
-bvanyangura 	K 				-bvanyangura -bvanganyura K it . Ku bvanyangura kupishanisa nekukanganisa zvinhu zvakanyatsorongwa.
-bvanzuka 	D 				-bvanzuka D itik . Ku bvanzuka kukwanisika kwechinhu kudambuka.
-bvara 	K 				-bvara K it . -pfeka .
-bvaranura 	K 				-bvaranura -bvaranyura K it . -pfurunyura .
-bvarapfata 	K 				-bvarapfata K it . Kana chinhu chichi bvarapfata chinenge chichirwisa kuti chisununguke. -bvarapfadza, -piripitika .
-bvaruka 	K 				-bvaruka K itik . Ku bvaruka kutsemuka kwembatya kana bepa.
-bvaruranya 	K 				-bvaruranya K it . Ku bvaruranya kutsemura jira kana bepa uchiita zvidimbu zvidimbu zvakawanda.
-bvatuka 	K 				-bvatuka K itik . Ku bvatuka kuenda kana kubuda kubva mune chimwe chinhu.
-bvatura 	K 				-bvatura K it . Ku bvatura kuvaka kana kumisa chimwe chinhu.
-bvauka 	D 				-bvauka D itik . Ku bvauka kurova kunoita hana.
-bvaura 	D 				-bvaura D it . Ku bvaura kuruma chidimbu chihombe chenyama.
bvebvema 	KKD 		ny 		bvebvema KKD ny . Kuti bvebvema magariro anoita munhu achiratidza kuzvikudza.
-bvebvemadza 	K 				-bvebvemadza K it . Ku bvebvemadza kuratidza kuzvikudza.
bvebveva 	KKD 		ny 		bvebveva KKD ny . Kuti bvebveva kugara munhu achiratidza kusafara.
-bvebvevadza 	D 				-bvebvevadza D it . Ku bvebvevadza kuita kuti mumwe agare semunhu akafirwa, kana kuti kusuwisa mumwe.
bvekechera 	D- 	5 	z 		bvekechera D- z 5 . Ava vanhu kana mhuka dzakawanda dziri panzvimbo imwe chete. bvakachira 5 .
-bvengenya 	D 				-bvengenya D it . Ku bvengenya kutsemura kana kudambura chinhu kuita zvidimbu zvidiki.
bvengenya 	D- 	5 	z 		bvengenya D- z 5 . Bvenyenga chidimbu chinenge chabva pahembe yakabvaruka.
-bvenyura 	D 				-bvenyura D it . Ku bvenyura kupara kana kukuzvura chinhu. -kuruzura .
-bverenyura 	D 				-bverenyura D it . Ku bverenyura kupara kana kukuzvura zvishoma. -guruzura .
-bvibvita 	K 				-bvibvita K it . Ku bvibvita kukwenya kunoita mhuka panenge pachiivava, sezvinoita imbwa ichishandisa gumbo reshure.
-bvidzura 	K 				-bvidzura K it . Ku bvidzura kubvisa chinhu uchiita zvekunakura. -pfichura .
-bvinha 	D 				-bvinha D it . Ku bvinha kupara kana kusakura nebadza rakagomara pachisara pasina kutsetseka.
-bvinza 	D 				-bvinza D itik . Ku bvinza kubuda kwezvakaita mvura nepaburi rinenge riri pamudziyo. -donha, -duza .
-bviripfinda 	K 				-bviripfinda K itik . Ku bviripfinda kushanda zvekusvika pakuzvipedza simba rose kana rokufamba chaiko.
-bvirira 	D 				-bvirira D itik . Ku bvirira kutanga pane imwe nzvimbo kusvika pane imwe. Moto uyu wakabvirira kumusoro uchidzika nebani.
-bvita 	D 				-bvita D itik . Ku bvita kupfura kunoita panzvimbo panorwadza.
-bvita 	K 				-bvita K it . -geza .
-bvodyoka 	D 				-bvodyoka D itik . Ku bvodyoka kubvooreka kwechinhu chabaiwa.
-bvonga 	K 				-bvonga K it . Ku bvonga kubika kasadza nechimbichimbi. -bvanyangura. .
-bvongonyedza 	K 				-bvongonyedza K itik . -bvonyongedza. .
-bvonyera 	K 				-bvonyera K it . Ku bvonyera kuisa nhumbi dzakawanda mune chimwe chinhu dzisina kurongwa zvakanaka.
-bvonyongedza 	K 				-bvonyongedza K it . Ku bvonyongedza kukanganisa urongwa hwezvinhu.
bvonyongera 	D- 	5 	z 		bvonyongera D- z 5 . Ava vanhu vakawanda vanenge vachingofamba vachipesana-pesana.
-bvorongonya 	K 				-bvorongonya K it . Ku bvorongonya kukanganisa mamiriro ezvinhu zvange zvakagara zvakanaka.
bvoroza 	DKD 	5 	z 		bvoroza DKD z 5 . Bvoroza kushandisa chinhu chemumwe usina kupihwa mvumo nemuridzi wacho. Wava kuzovengana nemunin'ina wako zvaunogaroita bhasikoro rake bvoroza.
-bvotora 	K 				-bvotora K itik . -bvotomoka .
-bvubva 	D 				-bvubva D it . Ku bvubva kurwira kutora chimwe chinhu. Imbwa dzanga dzichibvubvana mabhonzo paseri apo.
-bvubvudza 	D 				-bvubvudza D it . Ku bvubvudza kumhanyirira kutora chimwe chinhu. Huku dzinobvubvudzana ukadzikandira gonye.
-bvubvumira 	D 				-bvubvumira D itik . Ku bvubvumira kutadza kutaura zvakanaka nokuda kwekushoshoma kwezwi. Handingatauri pamusangano nekuti izwi rangu rinobvubvumira.
-bvubvurudza 	K 				-bvubvurudza K it . Ku bvubvurudza kukweva chimwe chinhu napasi. -zvuzvurudza .
bvubvuva 	KKD 		ny 		bvubvuva KKD ny . Kuti bvubvuva kuundundika uchiratidza kurwara kana kunzwa chando.
-bvuchura 	D 				-bvuchura D it . Ku bvuchura kuita dutu, kazhinji renhumbi kana dzichinge dzakuturirwa pasi.
bvugada 	D- 		ny 		bvugada D- ny . kuti bvugada kugara nemabvi uchiratidza rukudzo.
-bvuina 	D 				-bvuina D it . Kana uchi bvuina mumwe unenge uchimutuka.
-bvujuka 	K 				-bvujuka K itik . Ku bvujuka kubuda kwezviri mukati nekuda kwekuti pazviri padzvanywa.
-bvujumura 	K 				-bvujumura K it . Kana munhu achinzi abvujumura mumwe munhu anenge amuvhundutsira zvikuru.
-bvujunudza 	D 				-bvujunudza D it . Ku bvujunudza kuita kuti chimwe chinhu chizaruke.
-bvuka 	K 				-bvuka K it . Ku bvuka kukwanisa kuziva zvinhu zvichaitika. -fembera .
-bvukira 	K 				-bvukira K it . Ku bvukira kuedza kutorera mumwe chinhu nechisimba. Ku bvukira mumwe kumupa mhosva yaasina. Ku bvukira kuzama kufembera kuti chinhu chamunenge musiri kuona kuti chii. Vana vakaita zvokubvukira kuti chaive muhomwe yemudzidzisi chii.
-bvukurira 	K 				-bvukurira K it . Ku bvukurira kuvhara chimwe chinhu nevhu kana nechimwewo chinhu. Kana takusha zviyo tinotinhira mombe dzobvukurira munda wese.
-bvuma 	D 				-bvuma D it . Ku bvuma kutenda kana kuwirirana nezvinenge zvataurwa.
-bvumbana 	D 				-bvumbana D it . Ku bvumbana kuvhiringika musoro zvokushaya zvokuita.
-bvumbata 	K 				-bvumbata K it . Ku bvumbata chinhu kuchibata nemaoko zvine simba. -pfumbata .
-bvumbunura 	D 				-bvumbunura D it . Kana munhu aka bvumbunura chimwe chinhu anenge aburitsa chinhu changa chakavigwa. -vhumbunura .
-bvumburuka 	K 				-bvumburuka K itik . Ku bvumburuka kutamba muhuruva zvinowanzoitwa nepwere kana nemadhongi. Kana vakuru vachirima pwere dzinoswerobvumburuka mberi kwendima. -umburuka, -ngarangara .
-bvumira 	D 				-bvumira D it . Kana munhu abvumira kuita chinhu anenge achitenderana nezvinenge zvichinzi zviitwe.
-bvunda 	K 				-bvunda K itik . Ku bvunda kutamba-tamba kunoita muviri pamusana pokutya kana kutonhorwa. Abatwa nechando saka ava kubvunda. -dedera, -ngwenda, -huta .
-bvundika 	K 	9 	z 		-bvundika K z 9 it . Ku bvundika kuviga michero yatanhwa ichiri mimbishi kuti igoibvira ipapo painenge yachengeterwa. -pfimbika .
-bvundunuka 	D 				-bvundunuka D it . Ku bvundunuka kuiswa pachena kwechanga chakavandika.
-bvundura 	D 				-bvundura D it . Ku bvundura kukava chinhu mudumbu nesimba zvinorwadza. Panganai akaibvundura padumbu Forosi ikarusimudzira rwokurima.
-bvunganisa 	K 				-bvunganisa K it . Kana uka bvunganisa zvinhu unenge uchizviisa pamwe chete. -sanganisa .
-bvungunja 	K 				-bvungunja K it . Ku bvungunja chinhu kuchitswanya-tswanya nokuchirova kuti chive urubvurubvu.
-bvunura 	K 				-bvunura K it . Ku bvunura kubvisa ganda dzaru kunoitwa nenyoka kana nemadzvinyu. -vhunura .
-bvunyikidza 	K 				-bvunyikidza K it . Ku bvunyikidza zvinhu kuzvipakira mumudziyo wakaita saga zvakawanda. Ndabvunyikidza magumbeze angu ose mubhegi.
-bvunza 	D 				-bvunza D it . Ku bvunza kutsvaga ruzivo maererano nechimwe chinhu.
bvunzawabaya 	DKKDK 	1a 	z 		bvunzawabaya DKKDK z 1a . Uyu munhu asingaiti kuti anganyengetedzwa kurega kuita chinhu chakaipa.
bvupa 	K- 	5>6 	z 		bvupa K- z 5>6 . Bvupa ndiro rinosara panenge pabviswa nyama yose. godo 5, bondo 5 .
-bvuraudza 	K 				-bvuraudza K it . Ku bvuraudza kupisa chinhu nemarimi emoto kana nerufuse. Takabvuraudza nzungu murufuse tanzwa nenzara kumunda.
-bvurira 	K 				-bvurira K it . Kana chinhu chika bvurira chinenge chauya chakasimba. Madeko chando chakandibvurira.
-bvurudza 	D 				-bvurudza -vhurudza D it . Ku bvurudza kuzunza nhumbi kuti dzibve huruva yadzinenge dzaenda. -zunza .
-bvurunura 	D 				-bvurunura D it . Ku bvurunura kuita kuti zvakarukisa tambo zvipfamvanyuke. Bvurunura mberi kwetyava yako kuti kuite semuswe wemombe.
-bvuruvadza 	D 				-bvuruvadza D it . Ku bvuruvadza chinhu kuchisakadza. Zvino zvaabvuruvadza bhurukwa raakatenga mwedzi wapera, iye akamiswa basa mazuvaano, achadii?
-bvuruvara 	D 				-bvuruvara -bhuruvara D itik . Chinhu chinonzi cha bvuruvara chinenge chapera basa, chisisina chiremera. -chepa .
bvuva 	D- 		ny 		bvuva D- ny . Kuti bvuva kudonhera kwemunhu, mhuka kana chinhu mumvura.
-bvuvana 	D 				-bvuvana D itik . Ku bvuvana kuva munhu akamirira kuita zvose zvinenge zvakatarisirwa kuitwa.
-bvuvira 	D 				-bvuvira D it . Ku bvuvira doro kukanda hupfu hwamamera mudoro kana maheu kuti zvivire.
-bvuya 	D 				-bvuya D it . Ku bvuya kuvamba rumbo izwi riri pamusoro vamwe vachibvumira.
bwabwa 	K- 		ny 		bwabwa K- ny . Kuti bwabwa kutaura nekukasira.
-bwabwadza 	D 				-bwabwadza D it . Ku bwabwadza kuputsa chimwe chinhu chakaita semudziyo wevhu.
-bwadagudza 	K 				-bwadagudza K it . Kana munhu aka bwadagudza chinhu anenge achirovera pakaoma chobva chapwanyika-pwanyika.
bwadza 	DK 	5 	z 		bwadza DK z 5 . marise 6 .
bwaga 	DK 		ny 		bwaga DK ny . Kuti bwaga kuvhunika kana kuputsika kuita zvidimbu zvidimbu. Kunzi bwaga kutswanywa nechinhu chinorema. Akanzi bwaga nedombo.
-bwagura 	K 				-bwagura K it . Ku bwagura kukava negumbo zvakasimba. -bwadagudza .
-bwaidzika 	K 				-bwaidzika K itik . Ku bwaidzika kutsonya-tsonya maziso nokunyara.
bwamba 	DK 	14 	z 		bwamba DK z 14 . Bwamba muzasi memhuka munosanganisa dumbu rayo. hwamba 14 .
bwana 	DK 	14 	z 		bwana DK z 14 . Bwana turimwa tunenge tuchiri tudiki tunogona kudyarururwa tuchidyarwa zvakare pane imwe nzvimbo.
bwanashupa 	DDKK 	14 	z 		bwanashupa DDKK z 14 . Urwu rudzi rwemuti mudukuduku.
bwandadza 	D- 	14 	z 		bwandadza D- z 14 . matadza 6 .
-bwanya 	D 				-bwanya D it . -pwanya .
bwarara 	K- 	5 	z 		bwarara K- z 5 . Bwarara munhu asina njere, anoita zvinhu zvakapusa. duutuu 5, fuza 5 .
bwasha 	DK 	14 	z 		bwasha DK z 14 . Bwasha kufara kana upamhi hwechinhu. hwashu 14 .
-bwata 	D 				-bwata D itik . Ku bwata kutundumara kwemusana wemunhu akakotama, kana kwedumbu remhuka yakavata.
-bwataira 	K 				-bwataira K itik . Ku bwataira kufamba uchinyangira chimwe chinhu. -hwataira .
-bwatata 	D 				-bwatata D itik . Ku bwatata kutumba kana kukotama zvikuru, zvokuti musoro unenge uri pedo nevhu.
-bwazhama 	K 				-bwazhama K itik . Ku bwazhama kuva netsika yokun'un'una zvinonzikwa kana munhu aitirwa zvaasingadi.
-bwazhata 	K 				-bwazhata K itik . Munhu ano bwazhata anenge achitaurisa.
-bwazhaura 	K 				-bwazhaura K it . Ku bwazhaura kutswanya chinhu chinenge chiri nyore kutswanya.
-bwebweda 	K 				-bwebweda K itik . Ku bwebweda kutaura zvinotsamwisa mumwe.
-bwegemuka 	D 				-bwegemuka D itik . Ku bwegemuka kupunzika nekuita zvidimbu zvidimbu kwechinhu. Hari yakabwegemuka.
-bwenda 	K 				-bwenda K itik . Ku bwenda kuratidza kutya kukuru kunyanya pakurwa. -bweka, -zeza .
-bwerebweta 	K 				-bwerebweta K itik . Ku bwerebweta kutaura tusina maturo. Usangobwerebweta seusingazivi zvauri.
-bwereketa 	K 				-bwereketa -hwereketa K itik . Kana vanhu vachi bwereketa vanenge vachitaurirana nyaya.
-bwerengedza 	K 				-bwerengedza -hwerengedza K it . Ku bwerengedza kubatanidza zvinhu uchizviverenga zvose pamwe.
-bweza 	D 				-bweza D itik . Munhu ano bweza anenge achitya zvikuru. -zeza .
-bwibwima 	D 				-bwibwima -bwibwinya D itik . Ku bwibwima kuvako kwechiedza chakawanda chose. -penya, -bwinya, -vaima .
-bwibwimara 	D 				-bwibwimara D itik . Ku bwibwimara kuva nepameso panotaridza kusuwa.
-bwibwinga 	K 				-bwibwinga -bwibinga K it . Ku bwibwinga kudya kana kumwa nokukasira uchiita ruzha.
-bwimba 	D 				-bwimba D it . -kambura .
-bwiridzira 	K 				-bwiridzira K it . Ku bwiridzira kuitazve chinhu chawamboita. -dzokorora .
-bwirudura 	K 				-bwirudura K it . -bwirubura .
-bwitira 	K 				-bwitira -bitira K it . Kana chinhu chichi bwitira chinenge chichikonzera kuti mumwe munhu ashaye mweya wekufema. Rimwe gore ndakanga ndafa ndabwitirwa neutsi hwaibva mupoto yechibage yandakanga ndapisa.
-bwituka 	K 				-bwituka K itik . Ku bwituka kupfuta kunopa chiedza chizhinji kwechinguva chiduku.
-bwodogoka 	K 				-bwodogoka K itik . Ku bwodogoka kuvhunika kwedavi nyoro richangotunga.
-bwonyoka 	K 				-bwonyoka K itik . Kana uchi bwonyoka unenge uchitaura zvinhu usina kumbofunga kuti vanhu vari pauri vanozvifarira here kana kwete. -rotomoka .
cha 	D 		ny 		cha D ny . Kuti cha kurira kunoita chinhu chinenge chadonhera mumvura. Kuti cha kutorera munhu chinhu chaakabata nokukasika uchishandisa chisimba.
chabata 	KDD 	7 	z 		chabata KDD z 7 . Chabata mutemo wepamutambo wetsoro unoreva kuti kana munhu akangogunzva tsoro anofanirwa kutoitamba.
chabuta 	D- 	7 	z 		chabuta D- z 7 . Chabuta mutambo wokufembera kuti mari yakandwa mudenga ichadonha nedivi ripi, anenge agona kufembera achipihwa mari.
-chabvanya 	K 				-chabvanya K it . -chapfanya .
-chabvura 	D 				-chabvura D it . Ku chabvura kunyika nhumbi mumvura kokupedzisira, kuitira kuti dzibve tsvina ingange yasaririra pakuwacha. -dzumburudza .
chachacha 	D- 		ny 		chachacha D- ny . Kuti chachacha kudonha kwemadonhwe emvura panhu patonyorova kare. Mvura yomubvumbi inonaya ichiti chachacha usiku hwose.
chachacha 	K- 		ny 		chachacha K- ny . Kana mvura ichiti chachacha inenge ichibva pakakwirira ichindowira pasi. chachama .
-chachada 	K 				-chachada -chachanha K it . Ku chachada kubvisa imwe nyama uchicheka yaunosarudza, kana kubvisa mafuta panyama kuti ugozoashandisa ogawo.
-chachadudza 	K 				-chachadudza K it . -chachada .
-chachadura 	K 				-chachadura K it . -chachada .
-chachama 	D 				-chachama D itik . Ku chachama kudonha kwemvura zhinji paivhu nyoro. Kana mvura yanaya kwenguva refu inopedzisira yava kuchachama.
-chachamadza 	K 				-chachamadza K it . Kana waka chachamadza unenge wakatsigira chinhu chiri mudenga kuti chisawira pasi. Tinochachamadza matenga edzimba nebango rinoiswa pakati pemba rakabaya chiruvi. -chanjamadza .
chachanana 	D- 		ny 		chachanana D- ny . Kuti chachanana kugadzira panhu panobvira kuyambuka netsoka kana chimwe chinhu parwizi rwakadira. chachananda .
chachananda 	D- 		ny 		chachananda D- ny . chachanana .
-chachanura 	D 				-chachanura D it . Ku chachanura chinhu kuchibudisa mumvura uchiita zvokukweva. Ndakachachanura ziramba rakakura zvokuda kundipunzira mumvura.
-chachapudza 	K 				-chachapudza K it . Ku chachapudza kuita kuti mumwe munhu abvute chinenge chakabatwa nomumwe.
chacharakacha 	D- 		ny 		chacharakacha D- ny . Kuti chacharakacha kuyambuka rwizi kana chikova chine mvura yakawanda.
chacharara 	K- 		ny 		chacharara K- ny . chachama .
-chacharika 	D 				-chacharika D itik . Ku chacharika kutamba kokudzana zvine mutsindo.
-chachata 	K 				-chachata K it . -chachadza .
-chachavadza 	K 				-chachavadza K it . Ku chachavadza kuita kunokonzera kuti chinosifamba chimire.
-chachuka 	K 				-chachuka K itik . Kana nyama ichi chachuka inenge ichibvira kutora ichiri kubikwa pachoto.
chadenga 	DKD 	9>10 	z 		chadenga DKD z 9>10 . Chadenga inzvimbo yakakwirira zvikuru kunowanza kubhururukira chapungu kana ndege dzinoenda nzendo ndefu.
chadhenda 	DKD 	7 	z 		chadhenda DKD z 7 . Chadhenda ndechinomera pasi panguva yokunaya kwemvura, chakaita dendenedzwa, chinodyiwa.
-chadudza 	K 				-chadudza K it . Ku chadudza kuisa vanga rakadzika chaizvo pachinhu chakanyorevera uchishandisa chinhu chinopinza. Mombe dzake dzakachadudzwa neingwe yatadza kudziuraya dzose.
-chadura 	K 				-chadura K it . Ku chadura kucheka chakanyorovera uchishandisa banga kana chimwe chinhu chinopinza chaizvo. Mwana ainakidzwa nokuchadura maruva asingazivi kuti achazozviroverwa naamai.
chadzera 	DKD 	7 	z 		chadzera DKD z 7 . Chadzera mirazvu yechiedza inooneka iri kure. Chadzera kuvaima kunounzwa nemoto panguva yeusiku kana nezuva panguva yemasikati. Kana tsuro ikaona chadzera mberi kwayo haibudi mumugwagwa. chiedza 7 .
chagandanga 	DDKD 	7 	z 		chagandanga DDKD z 7 . Urwu ruzha rwakanyanya runoitwa navanhu vakawanda. chahanya 7 .
chagwa 	DK 		kanu 		chagwa DK kanu . Iri izwi rinoshandiswa nemunhu anenge achida kupiwa chinenge chadonheswa nemumwe munhu asingazvifungiri. mawa 5 .
chahanya 	DDK 	7 	z 		chahanya DDK z 7 . chagandanga .
chaira 	K- 	7 	z 		chaira K- z 7 . Chaira kuva netsika yokutevedzera zvinenge zvaitwa nevamwe.
-chairisa 	D 				-chairisa D it . Ku chairisa kupedza basa raunenge wanzi uite. -chaisa .
chaka-a 	D- 		ny 		chaka-a D- ny . Kuti chaka-a kudira munhu mvura asingafungire, kuti avhunduke nokutonhorwa.
-chakacha 	D 				-chakacha D itik . Ku chakacha kuva munhu asisagoni kumirira zvinhu zvichaitika kwapera nguva yakareba, uye anokasira kutsamwa. Ndakachakacha neshungu ndichida kuti mbavha iunzwe kwatiri tiirove.
-chakachakadza 	D 				-chakachakadza D it . Kuchakachadza kurasa-rasa mvura panzvimbo yose zvokuti panobva pazara madhaka.
-chakadza 	D 				-chakadza D it . -chakachadza .
-chakaira 	K 				-chakaira K itik . Ku chakaira kufamba kwenguva yakareba pasina kuzorora achinge munhu asina kwaakananga. Kana mukandovhima musina kukumbira varidzi, munochakaira mumasango mukabva chiri kumeso.
-chakanya 	K 				-chakanya K it . -chapfanya .
-chakapitidza 	D 				-chakapitidza D it . Ku chakapitidza kutora chinhu pamwe nokuchibata muruoko.
chakata 	D- 		ny 		chakata D- ny . Kana zvinhu zvakati chakata zvinenge zvakawanda, zvichiwanikwa pose pose.
-chakatidza 	D 				-chakatidza D it . Ku chakatidza kudira zvinhu zvakaita mvura pose pose.
chakauya 	DKDD 	7 	z 		chakauya DKDD z 7 . Izvi ndezvinenge zviri kuitika muvanhu mazuva iwayo.
-chakura 	K 				-chakura K it . Kana uchi chakura unenge uchitsenga chokudya zvishoma zvishoma asi chichinyatsoota. Nyama yerunda ndakaipedza ndichiita zvokuchakura.
-chakwaira 	K 				-chakwaira K itik . Ku chakwaira kufamba nomumvura isina kudzika uchiipfachura.
-chakwatidza 	D 				-chakwatidza D it . Ku chakwatidza kunyorovesa nhumbi nokudzimwaya mvura.
chakwechana 	DKKK 	7 	z 		chakwechana DKKK z 7 . Iyi imhando yemhunga inotapira chaizvo.
chamangwiza 	KDKD 	1a/7 	z 		chamangwiza KDKD z 1a/7 . Uyu munhu anenge ari shasha kupfuura vamwe pane zvaanenge achiita. Taidada nemukoma wedu aiva chamangwiza pazvibhakera.
chamarengenya 	KKKDD 	7 	z 		chamarengenya KKKDD z 7 . Uyu munhu anogaropfeka nhumbi dzakasakara uye iye asingagezi.
chamasunda 	DKDK 	7 	z 		chamasunda DKDK z 7 . chamagotsi 7 .
chamateya 	DKDD 	1 	z 		chamateya DKDD z 1 . Uyu munhu ane makumbo akakombamira mukati. nyamateya 1a .
chamavhunduka 	KKDDD 	7 	z 		chamavhunduka KKDDD z 7 . chaguduma 7 .
chambiswa 	DKD 	7 	z 		chambiswa DKD z 7 . Chambiswa idhishi kana chimwe chinhu chinenge chakazara nemhashu dzakakangwa.
chambwa 	DK 		ny 		chambwa DK ny . Kuti chambwa kuzadza mvura pose pose uchiita yokupfachura- pfachura.
chamizira 	D- 	7 	z 		chamizira D- z 7 . Uku kusavapo kwevanhu panzvimbo, umwe noumwe aenda kwake oga.
chamubandakanda 	KKKDDD 	7 	z 		chamubandakanda KKKDDD z 7 . Uku kurwadza zvakanyanya kwenhengo yemuviri.
chamuchacha-muchacha 	KKKDDDD 	7 	z 		chamuchacha-muchacha KKKDDDD z 7 . Aka karuzha katetetete kanonzwika kana madonhwe emvura inonaya achirova pasi.
chamukamhina 	KKDKD 	7 	z 		chamukamhina KKDKD z 7 . chamudai-mudai 7 .
chamukasama 	DKKKD 	7 	z 		chamukasama DKKKD z 7 . Iyi imhuka yakada kufanana nendunguza inowanzogara pedo nemvura, uye inowanzofamba iri muboka redzimwe dzayo.
chana 	DK 	7 	z 		chana DK z 7 . mwana . Kuita chana kuita zvinhu zvisina maturo semwana muduki.
chanana 	K- 	7 	z 		chanana K- z 7 . mwana 1 .
changa 	D- 	1a 	z 		changa D- z 1a . Changa munhu anotarisirwa pasi pamusana pokuti haana upfumi, simba kana chimwe chinhu.
-changamara 	K 				-changamara K itik . Ku changamara kufamba kwemunhu kana mhuka yakakura chaizvo. -kanganyara . Ku changamara kuvata nemusana usingazununguki.
-changamisa 	K 				-changamisa K it . Ku changamisa kutsveta chinhu makumbo acho ari mudenga. -tsindikira .
changaradza 	D- 	7 	z 		changaradza D- z 7 . Iri igungano revanhu vakawanda chaizvo vanenge vari muzvipoka zvipoka zviduku.
changoma 	KDD 	7 	z 		changoma KDD z 7 . Changoma ishavi rinogara munhu rozoita kuti anenge agarwa akwanise kurapa vanorwara.
chanja 	KD 	9>10 	z 		chanja KD z 9>10 . Chanja idanda rinowanzoiswa pamusoro pechidziro cheimba kuti ritsigire vanenge vachirura denga reimba iyoyo.
-chanjaika 	K 				-chanjaika K itik . Kana chinhu chaka chanjaika chinenge chakanyanya kukwirira kana kubuda kunze kupfuura zvinofanirwa. Nguruve yomusango ine mazino akachanjaika.
-chanjamadza 	K 				-chanjamadza K it . Ku chanjamadza kutsveta chinhu chisina kunyatsoenzana nezvimwe. Ku chanjamadza kutsigira chinhu chinenge chakanyanya kubuda kunze kuti chisawira pasi.
chanjandara 	K- 		ny 		chanjandara K- ny . chachama .
chanjanja 	K- 		ny 		chanjanja K- ny . chanjama .
-chanjanjika 	K 				-chanjanjika K itik . -chanjaika .
-chanyauka 	K 				-chanyauka K itik . Ku chanyauka kuchekwa kana kucherwa kwechinhu nenzira yokuti chinobuda chisina kururama.
chanza 	D- 	7 	z 		chanza D- z 7 . Chanza mukati menhengo yoruoko munoshandiswa kubata zvinhu.
chapa 	DK 	9>10 	z 		chapa DK z 9>10 . Chapa munhu asingagoni kunyatsorongedza zvinhu zvake pakafanira, asingagezi uye anogara nenhumbi dzine tsvina. fende 9 .
-chapatidza 	D 				-chapatidza D it . -chambwadza .
chapewa 	DKD 	9>10 	z 		chapewa DKD z 9>10 . Chapewa chipfeko chinopfekwa mumusoro kuvharidzira chando kana zuva. ngowani 9 .
-chapfunya 	K 				-chapfunya K it . -chakanya .
-chapuka 	K 				-chapuka K itik . Ku chapuka kukupika nemaoko sezvinoitwa mvura iri mumufuku.
