g e ʧ	гэж
x i s gʲ i ŋ	хэсгийн
a χ ʊi	ахуй
e m	эм
χ ɔ j ə r ə ŋ	хоёрын
gʲ i n ə n	киноны
uu n e s	Үүнээс
g i n ə tʰ	гэнэт
p ɔ r	бор
pʲ i j ə i ŋ	биеийн
a ʦ	аз
ʦʰ a ɢ a ŋ	Цагаан
x i m ʧ e n t	хэмжээнд
p ɔ tʲ ə tʰ	бодит
p ai χ a	байхаа
e r s	эрс
ʃ a ɮ tʰ ɢ a ŋ	шалтгаан
ʊʊ r	уур
p u x nʲ i g	бүхнийг
a r t ə ŋ	Ардын
uu nʲ i g	Үүнийг
s ɔ ɴ ɢ ʊ ɮʲ t	сонгуульд
n a r ə g	нарыг
t ɔɔ r	доор
p ɔ t ɮ ə ɢ	бодлого
ii ŋ x u	Ийнхүү
tʰ ɔ ɢ ɮ ə ɮ tʰ ə n t	тоглолтонд
s o r ə g	сөрөг
mʲ e tʰ ə r	метр
t ɔ tʰ r ɔ	дотроо
p ai t ɮ ə ŋ	байдлын
a mʲ ə rʲ ə g	Америк
ɮʲ i gʲ i ŋ	лигийн
p a rʲ ə ɮ ɢ	барилга
x uu x t u t	хүүхдүүд
p a rʲ ə χ	барих
ʧʰ a m ai g	чамайг
i r g ə ŋ	иргэн
g i t ə g tʰ	гэдэгт
i r ə g tʰ e	эрэгтэй
tʰ o g ə ɮ t ə r	төгөлдөр
n uu r	нүүр
t i ɮ xʲ i t	дэлхийд
χ a tʰ ə t	хятад
x ʊ wʲ i g	хувийг
m a ɮ tʰ m ə ɮ	малтмал
t u r	дүр
χ a r	Хар
x u s s ə ŋ	хүссэн
tʰ uu x ə ŋ	түүхэн
ʦ ui ɮ t	зүйлд
e m ʧʰ	эмч
x i r ə g ɮ ə x	хэрэглэх
m ʊ ʧ i ŋ	мужийн
ʦ ɔ χ ɔ ɮ	зохиол
ʃ a ɢ n ə ɮ	шагнал
x ui tʰ ə ŋ	хүйтэн
χ a rʲ ʊ	хариу
ʊ r t	урд
tʰ a wʲ s ə ŋ	тавьсан
χ ɔ ɮ	хол
xʲ i ɮ	хил
n ɔ m ə ŋ	номын
pʰ r a n ʦʰ	Франц
i r g ə ʧ	эргэж
n ee x	нээх
ɢ ɔ ɮ t ʊ	голдуу
p a j ə r ɮ ə ɮ a	баярлалаа
p ai tʰ ə ɮ	байтал
a r ɢ a r	аргаар
ɔ ɮʲ ə m pʰ	олимп
p ʊ r χ ə ŋ	бурхан
a ŋ g ɮʲ i	Англи
ʧʰ a t ə n	чадна
s a n s r ə ŋ	сансрын
a ʧ ə ɮ ɮ ə ɢ a n	ажиллагааны
oo r ʧʰ ɮ ə ɮ tʰ	өөрчлөлт
e s	эс
x o ŋ g ə ŋ	хөнгөн
ɔi ɮ ɢ ə ʧ	ойлгож
i x e r	ихээр
t u g e r	дүгээр
t a r a gʲ i ŋ	дараагийн
x i r ə g g ui	хэрэггүй
x i m ʧ e g e r	хэмжээгээр
x a m a g ui	хамаагүй
ʊ t a gʲ i ŋ	удаагийн
χ aa	хаа
ɔ r ʊ ɮ ə χ	оруулах
i x tʰ e	ихтэй
p u x	Бүх
ʧʰ o ɮ o tʰ	чөлөөт
tʰ i ŋ g ə r	тэнгэр
tʰ a tʰ ə ʧ	татаж
t u ŋ	дүн
j a rʲ t ə g	ярьдаг
x i ɮ e r	хэлээр
m o r ə ŋ	мөрөн
ʦ ɔ rʲ ə ɮ ɢ	зорилго
ʧ u ʧ ə g ʧʰ ə ŋ	жүжигчин
a ʃ ə ɢ tʰ	Ашигт
ʊ r ɮ ə gʲ i ŋ	урлагийн
i ŋ g e t	ингээд
ɢ a t a t ə ŋ	гадаадын
i r ə g	эрэг
tʰ o tʲ i g ui	төдийгүй
ɔ r ʃ t ə g	оршдог
n ee ɮ tʰ tʰ e	нээлттэй
nʲ ii g ə m	нийгэм
n aa t ə m	наадам
x e r	хэр
tʰ i t nʲ i g	тэднийг
i r g ə nʲ i	иргэний
o w ʧʰ ə ŋ	өвчин
x i ɮ p ə r	хэлбэр
χ a r s ə ŋ	харсан
i r ʧ e	иржээ
ʦ ee ɮʲ i ŋ	зээлийн
ɢ ʊ r ə w	гурав
p uu r	бүүр
p ɔ ɮ ə w s r ə ɮ	боловсрол
a ʃ ə ɢ ɮ ə ʧ	ашиглаж
χ ʊʊ t ə s	хуудас
g u r ə ŋ	гүрэн
p i ɮ ə ŋ	бэлэн
χ ɔ j ə r	Хоёр
nʲ ii tʰ ə ɮ s ə ŋ	Нийтэлсэн
j a r ʊ	яруу
j a w ə n	явна
xʲ i ʧʰ e ɮ	хичээл
ʊ s ə n t	усанд
tʰ uu nʲ i g	Түүнийг
pʰ rʲ i mʲ ə r	Премьер
j i w r ə pʰ	Европ
x u r e n t	хүрээнд
χ ɔ tʰ ə g	хотыг
χ ɔ ɮ p ə ɢ t ə χ	холбогдох
tʰ a mʲ ə r ʧʰ ə ŋ	тамирчин
s uu ɮ t	сүүлд
s ʊʊ rʲ	суурь
n ee r e	нээрээ
n i ɮ e t	нэлээд
i x ə t	ихэд
ʦ u g	зүг
p u ɮ ə g	бүлэг
a tʲ ə ɮ χ ə ŋ	адилхан
ʦʰ aa ʃ ə t	цаашид
ɔ ʧʰ ɔ t	очоод
p ai χ a r	байхаар
a ʧ ɮ a	ажлаа
tʰ i t nʲ i	Тэдний
a r t ʧʰ ə ɮ s ə ŋ	Ардчилсан
s i s tʰʲ ə m	систем
n ɔ ɢ ɔ ŋ	ногоон
g u r nʲ i	гүрний
p ɔ ɮ ə m ʧ g ui	боломжгүй
p ai t ə g g ui	байдаггүй
ʃ aa r t ɮ ə ɢ	шаардлага
tʰ uu xʲ i ŋ	түүхийн
ɔ ɴ ɢ ə ʦʰ	онгоц
j i r ə ŋ xʲ i ɮ ə g ʧʰ i ŋ	ерөнхийлөгчийн
p u tʰ ə g t ə x u ŋ	бүтээгдэхүүн
ii m e s	Иймээс
u ʦ e t	үзээд
x i m ʧ e g	хэмжээг
χ ʊ w ʦʰ ə s	хувцас
ʊ r ɢ ə m ə ɮ	ургамал
tʰ e g ʧ	тэгж
ʧ i n tʰ e	жинтэй
a w n	авна
tʰ uu n ʧʰ ɮ ə ŋ	Түүнчлэн
tʰ ʊ χ ai ŋ	Тухайн
a ʦ i	Ази
ʃ u ɮ ə g	шүлэг
ʦ ee ɮ	зээл
p u tʰ ə s ə ŋ	бүтээсэн
a ɮ t ə r tʰ	алдарт
u ʦ u ɮ ʧ	үзүүлж
tʰ uu x tʰ e	түүхтэй
s a ŋ	сан
nʲ ii tʰ ə t	нийтэд
ʦ o w ʃ o r ɮʲ i ŋ	зөвшөөрлийн
j a w ʊ ɮ ə χ	явуулах
ɔ r ə s	орос
ɔ n ʦʰ ɢ ɔi	онцгой
p ɔ t ə χ	бодох
ɢ a ʦ ə r	Газар
ɔ r n ʊ t	орнууд
ʦ u r x	зүрх
pʲ i j e	биеэ
p aa χ ə ŋ	баахан
a ɢ a r ə ŋ	агаарын
e x	Эх
oo r o r	Өөрөөр
o ŋ g ə r s ə ŋ	Өнгөрсөн
ʧʰ ʊ ɮ ʊ	чулуу
tʰ a nʲ	тань
ɔ j ʊ tʰ ə ŋ	оюутан
ɔ r t	орд
i ɮ	ил
a ɮ t s ə ŋ	алдсан
s ɔ ɮ ə ɴ ɢ ə s	Солонгос
u n ə tʰ e	үнэтэй
j a ɮ ɢ a tʰ ai	ялгаатай
ɢ a ʦ r a s	газраас
p o xʲ i ŋ	бөхийн
uu r ə g tʰ e	үүрэгтэй
tʰ a ɮ p ai t	талбайд
s ʊʊ χ	суух
ii m ə r x u	иймэрхүү
ʧ i ʃ e	Жишээ
χ aa n tʰ	хаант
ɔ r ʃ ə n	оршино
χ ʊ ɢ ə ʦʰ a n	хугацааны
t a w ʊ	давуу
a w ʧʰ e	авчээ
u r g ə ɮ ʧ	үргэлж
χ a rʲ ə ɮ ʦʰ ə ŋ	харилцан
m i t ɮ ə g	мэдлэг
a j ə ɮ ə ɮ	аялал
ʧʰ o ɮ o tʰ e	чөлөөтэй
x i r ə g ɮ ə t ə g	хэрэглэдэг
χ ʊʊ ɮʲ t	хуульд
s ʊʊ s ə ŋ	суусан
ʦ ui	зүй
χ ʊ pʲ ə ɮ ai	Хубилай
e g ʧʰ	эгч
tʰ o s tʰ e	төстэй
tʰ u r	түр
s a ŋ x u gʲ i ŋ	санхүүгийн
χ ʊ t ə ɮ t ə ŋ	худалдан
χ ʊ t ə ɮ t a n	худалдааны
χ ɔ n ə ɢ tʰ	хоногт
ʦ u g tʰ	зүгт
p u g tʲ i g	бүгдийг
a r t ə ŋ	ардын
x uu x ə ŋ	хүүхэн
x u ʧʰ e r	хүчээр
x e w	хэв
s u m	сүм
ɔ j ʊ ŋ	оюун
ɔ ɮʲ ə m pʰ ə t	олимпод
mʲ i n ə tʰ	минут
i r t ə g	ирдэг
u ʦ u ɮ ə x	үзүүлэх
j a rʲ ə χ	ярих
x u r ə ɮ	хүрэл
pʲ i t nʲ i	Бидний
ui ɮ ʧʰ ə ɮ g e	үйлчилгээ
u n t s ə ŋ	Үндсэн
χ a tʰ ə t ə ŋ	хятадын
x i ɮ e t	хэлээд
ʊ rʲ t	урьд
ɮʲ i g	лиг
i x ə ɮ ʧ	эхэлж
i r ʧʰ ə m	эрчим
x o g ʧ ə ʧ	хөгжиж
s ʊ t ə ɮ ɢ a n	судалгааны
s a n ə ʧ	санаж
p u r ə ɮ t ə x u n t	бүрэлдэхүүнд
o ʧʰ ə g t ə r	Өчигдөр
ʦ i r gʲ i g	зэргийг
ʦ ɔ rʲ ʊ ɮ s ə ŋ	зориулсан
g e m tʰ	гэмт
pʲ a ʦʰ χ ə ŋ	бяцхан
p aa tʰ ə r	баатар
tʰ ʊ χ ai ɮ p ə ɮ	Тухайлбал
x o g ʧ ə ɮ	хөгжил
x i ɮ ə x ə t	хэлэхэд
xʲ i mʲ i ŋ	химийн
χ a m ə g	хамаг
m i t e ʧ	мэдээж
m ɔ ɴ ɢ ə ɮ ʧʰ ʊ t	монголчууд
ii g	ийг
ʦ a ɢ w ə r	загвар
p a r s ə ŋ	барсан
s ɔ ɮ ə ɴ ɢ ə s ə ŋ	Солонгосын
χ a r ə ɢ t ə ʧ	харагдаж
χ a ɴ ɢ ə χ	хангах
tʰ i ŋ gʲ ə s	тэнгис
tʰʲ i x n ə ɮ ə gʲ i ŋ	технологийн
i r ɮ e	ирлээ
t a ɮ ai	далай
tʰ uu n e s	Түүнээс
n i r e r	нэрээр
m i tʰ e r	мэтээр
ʦ oo ɮ ə ŋ	зөөлөн
p u ɮ	бүл
m i t e ʧ	Мэдээж
ʦʰ oo ŋ	цөөн
x u r g ə ʧ	хүргэж
χ ɔi n	хойно
χ ɔ w ə r	ховор
ʊ n ʃ a t	уншаад
ʦ ʊ r gʲ i g	зургийг
t ɔ ɮ ɮ ə r ə ŋ	долларын
o n t ə g	өндөг
u n t ə s	үндэс
tʰ o g r ə g	төгрөг
ɔ ɴ ɢ ə ʦʰ ə n	онгоцны
nʲ i s ə x	нисэх
ʦ i r g e r	зэргээр
pʲ i tʰ gʲ i	битгий
pʲ i ɮ u	билүү
a ɢ a r	агаар
tʰ o r ʧ	төрж
tʰ a tʰ w ə r	татвар
m ʊ ʧ ə t	мужид
ʦ a ɮ ʊ s	залуус
a ɮ tʰ	алт
o w ɮʲ i ŋ	өвлийн
u ʦ u ɮ s ə ŋ	үзүүлсэн
i tʰ g e t	этгээд
x u r e t	хүрээд
xʲ ii n	хийнэ
tʰʲ i x nʲ ə g	техник
ɔ n ʦʰ ɮ ə g	онцлог
m ʊʊ χ ai	муухай
ʦ ai t	зайд
p a j ə ŋ	баян
a ʧ ə ɮ ɮ ə ɢ a n t	ажиллагаанд
x e ŋ	Хэн
o n o gʲ i ŋ	өнөөгийн
e r tʰ	эрт
i ɮ t ə w	элдэв
ʦ a rʲ ə m t a	заримдаа
ɢ a r ɢ ə ŋ	гарган
tʰ u m nʲ i	түмний
ʧ i rʲ i ŋ	жирийн
p a ɢ	Бага
uu n t	Үүнд
n i r ɮ ə t ə g	нэрлэдэг
m o r nʲ i	мөрний
t ʊ ɮ a ŋ	дулаан
g i tʰ ə ɮ	гэтэл
p ʊ ʦʰ ə ʧ	буцаж
a ʃ ə ɢ ɮ ə ŋ	ашиглан
a m ə r	амар
ʧ ɔ ŋ	Жон
a ɴ χ	Анх
tʰ ɔ ɢ ɮ ə t ə g	тоглодог
s uu ɮ ʧʰ i ŋ	сүүлчийн
t ʊ r g ui	дургүй
t a j a r	даяар
p ʊ s ə t	Бусад
ʦʰ o mʲ i ŋ	цөмийн
χ ɔɔ r ə n t ə ŋ	хоорондын
χ a ɴ ɢ ə ɮ tʰ tʰ ai	хангалттай
ʊ tʰ ə s	утас
tʰ ɔ ɢ ɮ ə s ə ŋ	тоглосон
ʦ o w ʃ o r ɮʲ i g	зөвшөөрлийг
ʦ ʊ ŋ	зун
i tʰ ə ɮʲ i ŋ	Италийн
ʧ i ʃ ə ɮ p ə ɮ	Жишээлбэл
ʦʰ a ɢ t a	цагдаа
x o g ʧ ə m	хөгжим
χ ɔ ʃ ʊ	хошуу
tʰ ai w ə ŋ	тайван
ɔ ɮ ə χ	олох
n i g t ə g e r	нэгдүгээр
m e t ə n	мэднэ
r ɔ m ə ŋ	Ромын
n a m ai g	Намайг
u n ə tʰ	үнэт
ʧʰ a t w ə r	чадвар
x i ɮ t ə g	хэлдэг
χ a r ə χ ə t	харахад
tʰ o r ə ɮ t	төрөлд
s ʊʊ ɢ a t	суугаад
s ʊ r ʧʰ	сурч
s a ɮ xʲ i	салхи
n e ŋ	нэн
n ʊ r ʊ	нуруу
mʲ a ɴ ɢ	мянга
m ɔ rʲ	морь
ɢ a n ʦʰ a r a	ганцаараа
p ɔ r ɔ	бороо
ʧʰ a m t	чамд
ɔ r ə ɮ ʦʰ ə χ	оролцох
t a χ a t	дахиад
χ ɔ r ɔ n	хорооны
s ʊʊ rʲ ə ŋ	суурин
i r n	ирнэ
i r g ə tʲ i ŋ	иргэдийн
ʧ i ʧ ə g x ə ŋ	жижигхэн
g ee ʧʰ	гээч
p ɔ t s ə ŋ	бодсон
a r t ʧʰ ə ɮ s ə ŋ	ардчилсан
a ŋ gʲ i	анги
i r t ə m tʰ ə ŋ	эрдэмтэн
xʲ i ɮʲ i ŋ	хилийн
χ a m tʰ ə ŋ	хамтын
tʰ i m t ə g	тэмдэг
tʰ ʊ s ɮ ə χ	туслах
tʰ a ɮ p ai ŋ	талбайн
s a w	сав
n oo ʦʰ	нөөц
t i r g ə t	дэргэд
ui ɮ t w ə rʲ i ŋ	үйлдвэрийн
ʃ uu x	шүүх
s a n a g	санааг
p ɔ ɮ ə χ ə t	болоход
s ai χ ə ŋ	Сайхан
i r t ə m tʰ ə t	эрдэмтэд
tʰ i r x u	тэрхүү
ɢ a ɮ tʰ	галт
p u r tʰ	бүрт
p a r a	бараа
a ŋ gʲ i ŋ	ангийн
ʊ ɮ a ŋ	Улаан
x o t ə ɮ g ə ŋ	хөдөлгөөн
ʊ r ɮ ə g	урлаг
t a w χ ə r	давхар
p i ɮ ə g	бэлэг
p ai ʃ ə ŋ	байшин
ʧʰ i g	чиг
ʦʰ a s	цас
x i w e r	хэвээр
nʲ ii g ə m t	нийгэмд
m ʊʊ tʰ ai	муутай
ɢ a n ʦʰ χ ə ŋ	ганцхан
a s ʊ t ɮ a r	асуудлаар
a pʰ rʲ ə gʲ i ŋ	Африкийн
i r t ə m	эрдэм
i ʦ ɮ ə ŋ	эзлэн
χ a rʲ ʦʰ ə ɴ ɢ ʊi	харьцангуй
tʰ e g ʃ	тэгш
ɢ ai χ ə ɮ tʰ ai	гайхалтай
ʊ ɮ s ʊ t	улсууд
tʰ o s ə ɮ	төсөл
tʰ ʊ s ɮ ə m ʧ	тусламж
tʰʲ i ɮʲ ə wʲ ə ʦ i ŋ	телевизийн
mʲ i tʰ rʲ i ŋ	метрийн
j a rʲ a t	яриад
j a ɮ ə ɮ tʰ	ялалт
ʦʰ i w ə r	цэвэр
x o x	хөх
χ ʊ t ə ɮ t a	худалдаа
ʊ n ə ʧ	унаж
i x ə w ʧʰ ɮ ə ŋ	ихэвчлэн
g e r tʰ	гэрт
p ai s n a	байснаа
a ʃ ə ɢ tʰ ai	ашигтай
i n ə tʰ x ə g	Энэтхэг
n a t ə t	Надад
i ʦʰ mʲ i	Ицми
χ ʊ r ə ɮ	хурал
s aa r ə ɮ	саарал
ɔ n ɔ	оноо
t ʊ n t ʊ r	дундуур
a ŋ g ɮʲ i	англи
m ɔ ɴ ɢ ə ɮ ʧʰ ʊ t ə ŋ	Монголчуудын
ɢ ɔ ɮ	Гол
u ʦ w ə ɮ	үзвэл
ʦʰ ɔ ɮ	цол
x uu x ə t tʰ e	хүүхэдтэй
tʰ o wʲ i ŋ	төвийн
tʰ ɔ ɢ tʰ ɔ χ	тогтоох
ɔ r ʧʰ n ə g	орчныг
n a s ə n t a	насандаа
m a χ	мах
j i r tʰ ə n ʦʰ	ертөнц
ɢ ɔɔ ɮ	гоол
p o x	бөх
p u x ə n t	бүхэнд
a m tʰ ai	амтай
ɮʲ i t	Лид
oo r s t o	өөрсдөө
ʃ i g e	шигээ
ʧʰ i g ɮ ə ɮ ə r	чиглэлээр
ʊ t ə ɮ g ui	удалгүй
ɔi r ə ɮ ʦʰ ɔ	ойролцоо
n ɔ m ə g	номыг
i ʦʰ s i ŋ	эцсийн
i ɮ p ə g	элбэг
ʦʰ i ʦʰ ə g	цэцэг
x u ʧʰ ə r x ə g	хүчирхэг
χ ɔ r ɔ	хороо
s ʊʊ t ə g	суудаг
s ʊ r ə χ	сурах
n ʊ tʰ gʲ i g	нутгийг
ʧ i ɮ u t ə t	жилүүдэд
t ee r e s	дээрээс
p a j ə r ə ŋ	баярын
p ai r ə n t	байранд
a ɮ p ə n	албаны
aa s	аас
n o g o	Нөгөө
i r xʲ i ŋ	эрхийн
ʧʰ a n ə r tʰ ai	чанартай
s ʊ t ɮ a ʧʰ ə t	судлаачид
ɔ r n	орно
p ai ɢ a m	байгаам
a r xʲ i	архи
n ee g t s ə ŋ	Нээгдсэн
ʧ ɔɔ r ɮ ɔ	Жоорло
aa w	Аав
ui ɮ t w ə r ɮ ə ɮʲ i ŋ	үйлдвэрлэлийн
t ee g u r	дээгүүр
t a n t a	дандаа
a m ə r χ ə ŋ	амархан
j ʊ m ʊ	юмуу
i x ə ɮ ʧ e	эхэлжээ
i r ʧʰ u t	эрчүүд
x i ɮ p ə r ə r	хэлбэрээр
χ ɔ ʧ ə m	хожим
tʰ i m t ə g ɮ ə ɮ	тэмдэглэл
tʰ ɔ χ ə ɮ t ə ɮ	тохиолдол
ɔɔ	оо
ʦ ɔ χ ɔ ɮ ə ŋ	зохиолын
p ai χ ə ŋ	байхын
a mʲ ə rʲ ə gʲ i ŋ	америкийн
i n ə tʰ x ə gʲ i ŋ	Энэтхэгийн
t i ɮ xʲ i	Дэлхий
ɢ a ʦ r ə ŋ	Газрын
o r g ə t ə ɮ	өргөдөл
o w ə r m ə ʦʰ	өвөрмөц
tʰ ɔ ɢ ɮ ə ɢ ʧʰ	тоглогч
s ɔ n s ə ʧ	сонсож
ɔ r ə n t ɔ	орондоо
j i r t o	ердөө
g i ʧ e	гэжээ
p ɔ ɮ ʧʰ ə χ s ə ŋ	болчихсон
p a rʲ s ə ŋ	барьсан
ɮ ɔ n t ə ŋ	Лондон
j aa s ə ŋ	яасан
j ʊ m s ə ŋ	юмсан
x oo r xʲ i	хөөрхий
ʊʊ ɢ ʊ ɮ	уугуул
tʰ ɔ s	тос
ʦ ai	зай
ʦ a ɢ ə s	загас
ʧ a r ɢ ə ɮ tʰ ai	жаргалтай
p oo ŋ	бөөн
p a j ə ɮ ə g	баялаг
p ai ɢ a ŋ	байгаан
ʦ a s ə χ	засах
ʧ a r ɢ ə ɮ	жаргал
t i w s g ə r	дэвсгэр
p ɔ ɮ ɔ g ui	болоогүй
a ʧ ə ɮ ɮ ə s ə ŋ	ажилласан
ʦʰ a g	Цаг
χ ʊʊ ɮʲ a r	хуулиар
χ ɔɔ ɮ ɔi	хоолой
χ a ʧʰ ə ŋ	хачин
ɔ r n ʊ t ə t	орнуудад
gʲ i ʃ u t	гишүүд
a rʲ ʊ ŋ	ариун
ʧ ɔ r ʧ	Жорж
o ŋ gʲ i ŋ	өнгийн
ui ɮ t w ə r	үйлдвэр
j ʊ m ə g	юмыг
x u n s nʲ i	хүнсний
ʊ t ə x g ui	удахгүй
s i tʰ g ə ɮ t	сэтгэлд
n ʊʊ r ə ŋ	нуурын
t i m ʧ ə ʧ	дэмжиж
g e g ʧʰ	гэгч
o m n o s	өмнөөс
j a w ʦʰ ə t	явцад
tʰ o g s s ə ŋ	төгссөн
t ɔɔ t	доод
t a ɢ ə ʧ	дагаж
a w s tʰ r ə ɮʲ i ŋ	Австралийн
j a ɮ ə ɴ ɢ ə j a	ялангуяа
χ ɔɔ s ə ŋ	хоосон
χ a n t ə ʧ	хандаж
tʰ u w ʃ ə n t	түвшинд
s a n ə ɢ t a t	санагдаад
ɔi ɮ ɢ ə ɮ tʰ	ойлголт
n a r ə n	нарны
a ɮ t a	алдаа
u ɮ t ə s ə ŋ	үлдээсэн
j ʊʊ ŋ	юун
xʲ ii ʧ e	хийжээ
tʰ o ɮ p ə r	төлбөр
ʦ a m t	замд
t o ŋ g ə ʧ	дөнгөж
p ɔ t w ə ɮ	бодвол
tʰ i g s ə ŋ	Тэгсэн
s ai t ə ŋ	сайдын
ɔ r ə s ə ŋ	оросын
n i rʲ i ŋ	нэрийн
ɢ ɔ m pʰʲ ə tʰʲ ə r	компьютер
t ai n t	дайнд
ɢ a t a	гадаа
p ɔ ɮ ə m ʧ i g	боломжийг
i x nʲ i	Эхний
s ɔ ŋ g ʊ ɮʲ i ŋ	Сонгуулийн
x o g ʧ u ɮ ə x	хөгжүүлэх
xʲ ii	хий
tʰʲ ii ʃ	тийш
tʰ a tʰ ə χ	татах
s ʊ ɮ	сул
s ɔ ɴ ɢ ə t ə g	сонгодог
s a j ə χ ə ŋ	саяхан
n e m ʧ	нэмж
n e g ʧ	нэгж
i t ə ʧ	идэж
ʦ ʊ r ɢ a ŋ	зургаан
ʦ ɔ ʧʰ ə ŋ	зочин
t ʊ n t ə ʧ	дундаж
t a r ʧ	дарж
ɢ a r ɢ ə t ə g	гаргадаг
p ai s n a s	байснаас
o t ə r tʰ	өдөрт
uu n e s	үүнээс
x o ɮ ə g	хөлөг
χ a n ə ɮ tʰ	хяналт
xʲ i ʧʰ n e ŋ	хичнээн
χ aa j a	хааяа
tʰ a ɮ a r χ	талаарх
g i ɮ e	гэлээ
g a r ʧʰ e	гарчээ
x u m u s	Хүмүүс
t ee t	Дээд
p ɔ ɢ t	Богд
χ ɔ tʰ ɔ s	хотоос
ɔ r ʧʰ ə m t	орчимд
ɢ a r a	гараа
p ɔ ɮ tʰ ə ɮ	болтол
u g e r	үгээр
j a w ʊ ɮ s ə ŋ	явуулсан
ʧʰ ʊ ɮ ʊ ŋ	чулуун
tʰ ɔ ɢ tʰ ɔ ʧ	тогтоож
g i r e nʲ i	гэрээний
p ʊʊ ʧ	бууж
a ɮ t ə ʧ	алдаж
i r tʰ nʲ i	Эртний
t ee r	Дээр
ʦʰ e g	цэг
m i t ə g t s ə ŋ	мэдэгдсэн
gʲ i n ə n t	кинонд
ʦ aa ʧ	зааж
p ʊ s t ə ŋ	бусдын
ai ɮ	айл
ɢ a t a t	Гадаад
uu t n e s	үүднээс
ui ɮ ʧʰ ə ɮ g e nʲ i	үйлчилгээний
x e m	хэм
ʊ ʧʰ ə r tʰ ai	учиртай
s a n ə ɢ t ə ʧ	санагдаж
m o r	мөр
ɮ a w	лав
t ʊ tʰ ʊ	дутуу
p ʊ s t ə t	бусдад
p a ɢ tʰ ə ʧ	багтаж
a s ʊ ɮ tʰ	асуулт
a mʲ a	амиа
i s pʰ ə nʲ i ŋ	Испанийн
t a ɮ ai	Далай
p rʲ i tʰ ə nʲ i	Британий
a ɮʲ	Аль
tʰ o w t	төвд
s a n ə ɢ t t ə g	санагддаг
n i m ə ɮ tʰ	нэмэлт
ʦ a ɢ w ə r ə ŋ	загварын
p o m p ə g	бөмбөг
p i ɮ gʲ i ŋ	бэлгийн
pʲ i ʦ nʲ ə s	бизнес
ai m a r	аймаар
a ɢ ʊ	агуу
ʊ m ə r t	Умард
a r t	Ард
x i r gʲ i g	хэргийг
tʰ ee w rʲ i ŋ	тээврийн
s ɔ n s ɔ t	сонсоод
s a n ə ɢ t s ə ŋ	санагдсан
n u t ə n t	нүдэнд
n aa t ə m t	наадамд
ii ŋ x u	ийнхүү
pʲ i ʧʰ t ə g	бичдэг
o n o x	өнөөх
o n o	өнөө
i r ə ɮ	эрэл
χ ɔ tʰ n ɔ	хотноо
χ ai ʧ	хайж
s a n ə ɮ a	саналаа
m a r ɢ a ʃ	маргааш
oo r o r	өөрөөр
o s s ə ŋ	өссөн
x u r tʰ ə ʧ	хүртэж
x i t x ə ŋ	хэдхэн
χ ʊ ɢ ə ʦʰ a g	хугацааг
xʲ ii x ə t	хийхэд
χ a ʧ ʊ t	хажууд
tʰ u g ə m ə ɮ	түгээмэл
ɔ ʧʰ s ə ŋ	очсон
m o s ə ŋ	мөсөн
a r	ар
uu r gʲ i g	үүргийг
i x ə ɮ ɮ e	эхэллээ
i m ə g tʰ ə ʧʰ u t	эмэгтэйчүүд
ʦʰ ʊ s	цус
x u ɮ ə s ə ŋ	хүлээсэн
x i r ə g tʰ	хэрэгт
ʊ tʲ ə r t ə ɢ ʧʰ	удирдагч
n a m ə r	намар
m ɔ rʲ ə ŋ	морин
t u r ə m	дүрэм
e r	Эр
p rʲ i tʰ ə nʲ i	Британи
a pʰ rʲ ə g	Африк
i r g e t	эргээд
ʦʰ a ɢ a r	цагаар
x o ɮ p ə m p ə g ʧʰ ə ŋ	хөлбөмбөгчин
χ a w ə r	хавар
ʊ tʰ ɢ ə tʰ ai	утгатай
tʰ uu n ʧʰ ɮ ə ŋ	түүнчлэн
tʰ u r u ɮ ʧ	түрүүлж
s i t ə w	сэдэв
ɔ r ɮ ə ɢ	орлого
n a r tʰ ai	нартай
m i t s ə ŋ	мэдсэн
ʦ i w s ə g	зэвсэг
ʦ a m ə g	замыг
i x e r	эхээр
i s x ə ɮ	эсхүл
χ a r ə ɢ t ə χ	харагдах
tʰ i n ə g	тэнэг
tʰ ʊ s ə m	тусам
s ʊ r ə ɮ ʦʰ ə ʧ	суралцаж
r a tʲ ɔ	радио
ɔ ɮ ɢ ə χ	олгох
ɔi ŋ	ойн
n a r tʰ	нарт
ʦ o w ʃ ə r s ə ŋ	зөвшөөрсөн
ʦ ɔ χ ə χ	зохих
ʧ ʊ r ə m	журам
pʲ i ʧʰ e t	бичээд
tʰ a n	Таны
i ŋ g ə ʧ	Ингэж
oo r tʰ	өөрт
o w ə ɮ	өвөл
u gʲ i ŋ	үгийн
χ ʊ t ɮ a	худлаа
χ ʊ wʲ a r	хувиар
tʰ i t g e r	тэдгээр
tʰ ɔ ɢ ɮ ɔ m	тоглоом
s ɔ ɴ ɢ ʊ ɮʲ	сонгууль
ɔ n ə ɮ	онол
ɔ w ə g	овог
i tʰ g ə ʧ	итгэж
ʦ ui tʰ e	зүйтэй
ʦ ɔ ɢ s ə ʧ	зогсож
j i r tʰ ə n ʦʰ i ŋ	ертөнцийн
t i n t u	дэндүү
ɢ a ʦ r a	газраа
a ɴ ɢ ə t	ангид
x i tʲ i g e r	Хэдийгээр
ui ɮ t ə ɮ	үйлдэл
i x ɮ ə x	эхлэх
ʃ i n ʧ ə ɮ g e nʲ i	шинжилгээний
