A	ə
ACCORDIONS	ə k 'ɔ ɹ d ij ə n z
ACCORDS	ə k 'ɔ ɹ d z
ACCOST	ə k 'ɔ s t
ACCOSTED	ə k 'ɑ s t ə d
ACCOSTING	ə k 'ɑ s t ɪ ŋ
ACCOUNT	ə k 'aw n t
ACCOUNT'S	ə k 'aw n t s
ACCOUNTABILITY	ə k 'aw n t ə b ɪ l ɪ t ij
ACCOUNTABILITY(1)	ə k 'aw n ə b ɪ l ɪ t ij
ACCOUNTABLE	ə k 'aw n t ə b ə l
ACCOUNTABLE(1)	ə k 'aw n ə b ə l
ACCOUNTANCY	ə k 'aw n t ə n s ij
ACCOUNTANT	ə k 'aw n t ə n t
ACCOUNTANT'S	ə k 'aw n t ə n t s
ACCOUNTANTS	ə k 'aw n t ə n t s
ACCOUNTANTS'	ə k 'aw n t ə n t s
ACCOUNTED	ə k 'aw n t ə d
ACCOUNTED(1)	ə k 'aw n ə d
ACCOUNTEMP	ə k 'aw n t ˌɛ m p
ACCOUNTEMPS	ə k 'aw n t ˌɛ m p s
ACCOUNTING	ə k 'aw n t ɪ ŋ
ACCOUNTING(1)	ə k 'aw n ɪ ŋ
ACCOUNTS	ə k 'aw n t s
ACCOUTERMENT	ə k 'uw t ə ɹ m ə n t
ACCOUTERMENTS	ə k 'uw t ə ɹ m ə n t s
ACCOUTREMENT	ə k 'uw t ə ɹ m ə n t
ACCOUTREMENTS	ə k 'uw t ə ɹ m ə n t s
ACCREDIT	ə k ɹ ˌɛ d ə t
ACCREDITATION	ə k ɹ ˌɛ d ə t 'ej ʃ ə n
ACCREDITATIONS	ə k ɹ ˌɛ d ə d 'ej ʃ ə n z
ACCREDITED	ə k ɹ 'ɛ d ɪ t ɪ d
ACCREDITING	ə k ɹ 'ɛ d ə t ɪ ŋ
ACCRETED	ə k ɹ 'ij t ɪ d
ACCRETION	ə k ɹ 'ij ʃ ə n
ACCRUAL	ə k ɹ 'uw ə l
ACCRUALS	ə k ɹ 'uw ə l z
ACCRUE	ə k ɹ 'uw
ACCRUED	ə k ɹ 'uw d
ACCRUES	ə k ɹ 'uw z
ACCRUING	ə k ɹ 'uw ɪ ŋ
ACCU	'æ k j uw
ACCUHEALTH	'æ k j uw h ˌɛ l θ
ACCUMULATE	ə k j 'uw m j ə l ˌej t
ACCUMULATED	ə k j 'uw m j ə l ˌej t ɪ d
ACCUMULATES	ə k j 'uw m j ə l ˌej t s
ACCUMULATING	ə k j 'uw m j ə l ˌej t ɪ ŋ
ACCUMULATION	ə k j ˌuw m j ə l 'ej ʃ ə n
ACCUMULATIONS	ə k j ˌuw m j ə l 'ej ʃ ə n z
ACCUMULATIVE	ə k j 'uw m j ə l ˌej t ɪ v
ACCUMULATIVELY	ə k j 'uw m j ə l ˌej t ɪ v l ij
ACCUMULATIVELY(1)	ə k j 'uw m j ə l ə t ɪ v l ij
ACCUMULATOR	ə k j 'uw m j ə l ˌej t ə ɹ
ACCUMULATORS	ə k j 'uw m j ə l ˌej t ə ɹ z
ACCURACIES	'æ k j ə ɹ ə s ij z
ACCURACY	'æ k j ə ɹ ə s ij
ACCURATE	'æ k j ə ɹ ə t
ACCURATELY	'æ k j ə ɹ ə t l ij
ACCURAY	'æ k j ə ɹ ˌej
ACCURAY'S	'æ k j ə ɹ ˌej z
ACCURIDE	'æ k j ə ɹ ˌaj d
ACCURSO	ɑ k 'ʊ ɹ s ow
ACCUSATION	ˌæ k j ə z 'ej ʃ ə n
ACCUSATION(1)	ˌæ k j uw z 'ej ʃ ə n
ACCUSATIONS	ˌæ k j ə z 'ej ʃ ə n z
ACCUSATIONS(1)	ˌæ k j uw z 'ej ʃ ə n z
ACCUSATIVE	ə k j 'uw z ə t ɪ v
ACCUSATORY	ə k j 'uw z ə t ˌɔ ɹ ij
ACCUSE	ə k j 'uw z
ACCUSED	ə k j 'uw z d
ACCUSER	ə k j 'uw z ə ɹ
ACCUSERS	ə k j 'uw z ə ɹ z
ACCUSES	ə k j 'uw z ɪ z
ACCUSING	ə k j 'uw z ɪ ŋ
ACCUSINGLY	ə k j 'uw z ɪ ŋ l ij
ACCUSTOM	ə k 'ʌ s t ə m
ACCUSTOMED	ə k 'ʌ s t ə m d
ACCUTANE	'æ k j uw t ˌej n
ACE	'ej s
ACECOMM	'ej s k ɑ m
ACED	'ej s t
ACER	'ej s ə ɹ
ACERBIC	ə s 'ɛ ɹ b ɪ k
ACERO	ə s 'ɛ ɹ ow
ACERO(1)	ə s j 'ɛ ɹ ow
ACERO(2)	ə θ 'ɛ ɹ ow
ACERRA	ə s 'ɛ ɹ ə
ACES	'ej s ɪ z
ACETAMINOPHEN	ə s ˌij t ə m 'ɪ n ə f ə n
ACETATE	'æ s ə t ˌej t
ACETIC	ə s 'ɛ t ɪ k
ACETIC(1)	ə s 'ij t ɪ k
ACETO	ɑ s 'ɛ t ow
ACETOCHLOR	ɑ s 'ɛ t ow k l ˌɔ ɹ
ACETONE	'æ s ə t ˌow n
ACETOSYRINGONE	ə s ˌɛ t ow s 'ɪ ɹ ɪ ŋ g ɔ n
ACETYLCHOLINE	ə s ˌɛ t ə l k 'ow l ij n
ACETYLCHOLINE(1)	ə s ˌij t ə l k 'ow l ij n
ACETYLENE	ə s 'ɛ t ə l ˌij n
ACEVEDO	æ s ə v 'ej d ow
ACEVES	ɑ s 'ej v ɛ s
ACEY	'ej s ij
ACHAEAN	ə ʧ 'ij ə n
ACHATZ	'æ k ə t s
ACHE	'ej k
ACHEBE	ɑ ʧ 'ej b ij
ACHED	'ej k t
ACHEE	ə ʧ 'ij
ACHENBACH	'æ k ɪ n b ɑ k
ACHENBAUM	'æ k ə n b ˌaw m
ACHES	'ej k s
ACHESON	'æ ʧ ə s ə n
ACHESON'S	'æ ʧ ə s ə n z
ACHESONS	'æ ʧ ə s ə n z
ACHEY	'æ ʧ ij
ACHIEVA	ə ʧ 'ij v ə
ACHIEVABLE	ə ʧ 'ij v ə b ə l
ACHIEVE	ə ʧ 'ij v
ACHIEVED	ə ʧ 'ij v d
ACHIEVEMENT	ə ʧ 'ij v m ə n t
ACHIEVEMENTS	ə ʧ 'ij v m ə n t s
ACHIEVER	ə ʧ 'ij v ə ɹ
ACHIEVERS	ə ʧ 'ij v ə ɹ z
ACHIEVES	ə ʧ 'ij v z
ACHIEVING	ə ʧ 'ij v ɪ ŋ
ACHILLE	ə k 'ɪ l ij
ACHILLES	ə k 'ɪ l ij z
ACHILLES'	ə k 'ɪ l ij z
ACHING	'ej k ɪ ŋ
ACHINGLY	'ej k ɪ ŋ l ij
ACHMED	'ɑ h m ɛ d
ACHOA	ə ʧ 'ow ə
ACHOA'S	ə ʧ 'ow ə z
ACHOR	'ej k ə ɹ
ACHORD	'æ k ɔ ɹ d
ACHORN	'æ k ə ɹ n
ACHTENBERG	'æ k t ɛ n b ə ɹ g
ACHTERBERG	'æ k t ə ɹ b ə ɹ g
ACHY	'ej k ij
ACID	'æ s ə d
ACIDIC	ə s 'ɪ d ɪ k
ACIDIFICATION	ə s ˌɪ d ə f ə k 'ej ʃ ə n
ACIDIFIED	ə s 'ɪ d ə f ˌaj d
ACIDIFIES	ə s 'ɪ d ə f ˌaj z
ACIDIFY	ə s 'ɪ d ə f ˌaj
ACIDITY	ə s 'ɪ d ə t ij
ACIDLY	'æ s ə d l ij
ACIDOSIS	ˌæ s ə d 'ow s ə s
ACIDS	'æ s ə d z
ACIDURIA	ˌæ s ə d 'ʊ ɹ ij ə
ACIERNO	ɑ s 'ɪ ɹ n ow
ACK	'æ k
ACKER	'æ k ə ɹ
ACKER'S	'æ k ə ɹ z
ACKERLEY	'æ k ə ɹ l ij
ACKERLY	'æ k ə ɹ l ij
ACKERMAN	'æ k ə ɹ m ə n
ACKERMANN	'æ k ə ɹ m ə n
ACKERMANVILLE	'æ k ə ɹ m ə n v ɪ l
ACKERSON	'æ k ə ɹ s ə n
ACKERT	'æ k ə ɹ t
ACKHOUSE	'æ k h ˌaw s
ACKLAND	'æ k l ə n d
ACKLES	'æ k ə l z
ACKLEY	'æ k l ij
ACKLIN	'æ k l ɪ n
ACKMAN	'æ k m ə n
ACKNOWLEDGE	æ k n 'ɑ l ɪ ʤ
ACKNOWLEDGE(1)	ɪ k n 'ɑ l ɪ ʤ
ACKNOWLEDGEABLE	æ k n 'ɑ l ɪ ʤ ə b ə l
ACKNOWLEDGEABLE(1)	ɪ k n 'ɑ l ɪ ʤ ə b ə l
ACKNOWLEDGED	æ k n 'ɑ l ɪ ʤ d
ACKNOWLEDGED(1)	ɪ k n 'ɑ l ɪ ʤ d
ACKNOWLEDGEMENT	æ k n 'ɑ l ɪ ʤ m ə n t
ACKNOWLEDGEMENT(1)	ɪ k n 'ɑ l ɪ ʤ m ə n t
ACKNOWLEDGEMENTS	æ k n 'ɑ l ɪ ʤ m ə n t s
ACKNOWLEDGEMENTS(1)	ɪ k n 'ɑ l ɪ ʤ m ə n t s
ACKNOWLEDGES	æ k n 'ɑ l ɪ ʤ ɪ z
ACKNOWLEDGES(1)	ɪ k n 'ɑ l ɪ ʤ ɪ z
ACKNOWLEDGING	æ k n 'ɑ l ɪ ʤ ɪ ŋ
ACKNOWLEDGING(1)	ɪ k n 'ɑ l ɪ ʤ ɪ ŋ
ACKNOWLEDGMENT	æ k n 'ɑ l ɪ ʤ m ə n t
ACKNOWLEDGMENT(1)	ɪ k n 'ɑ l ɪ ʤ m ə n t
ACKROYD	'æ k ɹ ˌɔj d
ACKROYD'S	'æ k ɹ ˌɔj d z
ACMAT	'æ k m æ t
ACMAT'S	'æ k m æ t s
ACME	'æ k m ij
ACME'S	'æ k m ij z
ACNE	'æ k n ij
ACOCELLA	ɑ k ow ʧ 'ɛ l ə
ACOFF	'æ k ɔ f
ACOG	ə k 'ɔ g
ACOLYTE	'æ k ə l ˌaj t
ACOLYTES	'æ k ə l ˌaj t s
ACORD	ə k 'ɔ ɹ d
ACORDIA	ə k 'ɔ ɹ d ij ə
ACORN	'ej k ɔ ɹ n
ACORN'S	'ej k ɔ ɹ n z
ACORNS	'ej k ɔ ɹ n z
ACOSTA	ə k 'ɔ s t ə
ACOTT	'ej k ɔ t
ACOUSTIC	ə k 'uw s t ɪ k
ACOUSTICAL	ə k 'uw s t ɪ k ə l
ACOUSTICALLY	ə k 'uw s t ɪ k l ij
ACOUSTICS	ə k 'uw s t ɪ k s
ACQUAINT	ə k w 'ej n t
ACQUAINTANCE	ə k w 'ej n t ə n s
ACQUAINTANCES	ə k w 'ej n t ə n s ɪ z
ACQUAINTANCESHIP	ə k w 'ej n t ə n s ʃ ɪ p
ACQUAINTED	ə k w 'ej n t ɪ d
ACQUAINTED(1)	ə k w 'ej n ɪ d
ACQUAVIVA	ɑ k w ɑ v 'ij v ə
ACQUIESCE	ˌæ k w ij 'ɛ s
ACQUIESCED	ˌæ k w ij 'ɛ s t
ACQUIESCENCE	ˌæ k w ij 'ɛ s ə n s
ACQUIESCING	ˌæ k w ij 'ɛ s ɪ ŋ
ACQUIRE	ə k w 'aj ə ɹ
ACQUIRED	ə k w 'aj ə ɹ d
ACQUIRER	ə k w 'aj ə ɹ ə ɹ
ACQUIRER'S	ə k w 'aj ə ɹ ə ɹ z
ACQUIRERS	ə k w 'aj ə ɹ ə ɹ z
ACQUIRES	ə k w 'aj ə ɹ z
ACQUIRING	ə k w 'aj ɹ ɪ ŋ
ACQUIRING(1)	ə k w 'aj ə ɹ ɪ ŋ
ACQUISITION	ˌæ k w ə z 'ɪ ʃ ə n
ACQUISITION'S	ˌæ k w ə z 'ɪ ʃ ə n z
ACQUISITIONS	ˌæ k w ə z 'ɪ ʃ ə n z
ACQUISITIVE	ə k w 'ɪ z ə t ɪ v
ACQUIT	ə k w 'ɪ t
ACQUITAINE	'æ k w ɪ t ˌej n
ACQUITS	ə k w 'ɪ t s
ACQUITTAL	ə k w 'ɪ t ə l
ACQUITTALS	ə k w 'ɪ t ə l z
ACQUITTED	ə k w 'ɪ t ə d
ACQUITTED(1)	ə k w 'ɪ t ɪ d
ACQUITTING	ə k w 'ɪ t ɪ ŋ
ACRE	'ej k ə ɹ
ACREAGE	'ej k ə ɹ ɪ ʤ
ACREAGE(1)	'ej k ɹ ə ʤ
ACREE	ə k ɹ 'ij
ACRES	'ej k ə ɹ z
ACREY	'æ k ɹ ij
ACRI	'ɑ k ɹ ij
ACRID	'æ k ɹ ɪ d
ACRIMONIOUS	ˌæ k ɹ ə m 'ow n ij ə s
ACRIMONY	'æ k ɹ ɪ m ˌow n ij
ACRO	'æ k ɹ ow
ACROBAT	'æ k ɹ ə b ˌæ t
ACROBATIC	ˌæ k ɹ ə b 'æ t ɪ k
ACROBATICS	ˌæ k ɹ ə b 'æ t ɪ k s
ACROBATS	'æ k ɹ ə b ˌæ t s
ACROLEIN	'æ k ɹ ow l ˌij n
ACRONYM	'æ k ɹ ə n ɪ m
ACRONYMS	'æ k ɹ ə n ɪ m z
ACROPOLIS	ə k ɹ 'ɑ p ə l ə s
ACROSS	ə k ɹ 'ɔ s
ACRYLIC	ə k ɹ 'ɪ l ɪ k
ACRYLICS	ə k ɹ 'ɪ l ɪ k s
ACT	'æ k t
ACT'S	'æ k t s
ACTAVA	ˌæ k t 'ɑ v ə
ACTAVA'S	ˌæ k t 'ɑ v ə z
ACTAVAS	ˌæ k t 'ɑ v ə z
ACTED	'æ k t ə d
ACTED(1)	'æ k t ɪ d
ACTEL	'æ k t ɛ l
ACTIGALL	'æ k t ɪ g ɔ l
ACTIN	'æ k t ə n
ACTING	'æ k t ɪ ŋ
ACTINIDE	'æ k t ɪ n ˌaj d
ACTINIDIA	ˌæ k t ɪ n 'ɪ d ij ə
ACTINOMYCOSIS	æ k t 'ɪ n ow m 'aj k 'ow s ɪ s
ACTION	'æ k ʃ ə n
ACTION'S	'æ k ʃ ə n z
ACTIONABLE	'æ k ʃ ə n ə b ə l
ACTIONS	'æ k ʃ ə n z
ACTIVASE	'æ k t ɪ v ˌej z
ACTIVATE	'æ k t ə v ˌej t
ACTIVATED	'æ k t ə v ˌej t ə d
ACTIVATED(1)	'æ k t ɪ v ˌej t ɪ d
ACTIVATES	'æ k t ə v ˌej t s
ACTIVATING	'æ k t ə v ˌej t ɪ ŋ
ACTIVATION	ˌæ k t ə v 'ej ʃ ə n
ACTIVATOR	'æ k t ə v ˌej t ə ɹ
ACTIVE	'æ k t ɪ v
ACTIVE'S	'æ k t ɪ v z
ACTIVELY	'æ k t ɪ v l ij
ACTIVES	'æ k t ɪ v z
ACTIVISION	'æ k t ɪ v ˌɪ ʒ ə n
ACTIVISM	'æ k t ɪ v ˌɪ z ə m
ACTIVIST	'æ k t ə v ə s t
ACTIVIST(1)	'æ k t ɪ v ɪ s t
ACTIVISTS	'æ k t ə v ə s t s
ACTIVISTS(1)	'æ k t ɪ v ɪ s t s
ACTIVISTS(2)	'æ k t ə v ə s
ACTIVISTS(3)	'æ k t ɪ v ɪ s
ACTIVISTS'	'æ k t ɪ v ɪ s t s
ACTIVISTS'(1)	'æ k t ɪ v ɪ s
ACTIVITIES	æ k t 'ɪ v ə t ij z
ACTIVITIES(1)	æ k t 'ɪ v ɪ t ij z
ACTIVITY	æ k t 'ɪ v ə t ij
ACTIVITY(1)	æ k t 'ɪ v ɪ t ij
ACTMEDIA	æ k t m 'ij d ij ə
ACTODINE	'æ k t ow d ˌaj n
ACTON	'æ k t ə n
ACTOR	'æ k t ə ɹ
ACTOR'S	'æ k t ə ɹ z
ACTORS	'æ k t ə ɹ z
ACTORS'	'æ k t ə ɹ z
ACTRESS	'æ k t ɹ ə s
ACTRESS'S	'æ k t ɹ ə s ɪ z
ACTRESSES	'æ k t ɹ ə s ɪ z
ACTS	'æ k t s
ACTS(1)	'æ k s
ACTUAL	'æ k ʧ ə w ə l
ACTUAL(1)	'æ k ʃ ə l
ACTUALITY	ˌæ k ʧ uw 'æ l ə t ˌij
ACTUALIZE	'æ k ʧ ˌuw ə l ˌaj z
ACTUALLY	'æ k ʧ ˌuw ə l ij
ACTUALLY(1)	'æ k ʧ l ij
ACTUALLY(2)	'æ k ʃ ə l ij
ACTUARIAL	ˌæ k ʧ ˌuw 'ɛ ɹ ij ə l
ACTUARIES	'æ k ʧ ˌuw 'ɛ ɹ ˌij z
ACTUARY	'æ k ʧ uw 'ɛ ɹ ˌij
ACTUATE	'æ k ʧ ˌuw 'ej t
ACTUATOR	'æ k t j uw ˌej t ə ɹ
ACTUATOR(1)	'æ k ʧ uw ˌej t ə ɹ
ACTUATORS	'æ k t j uw ˌej t ə ɹ z
ACTUATORS(1)	'æ k ʧ uw ˌej t ə ɹ z
ACTUS	'æ k t ə s
ACUFF	ə k 'ʌ f
ACUITY	ə k j 'uw ə t ij
ACUMEN	ə k j 'uw m ə n
ACUNA	ɑ k 'uw n ə
ACUPUNCTURE	'æ k j uw p ˌʌ ŋ k ʧ ə ɹ
ACURA	'æ k j ə ɹ ə
ACURA'S	'æ k j ə ɹ ə z
ACURAS	'æ k j ə ɹ ə z
ACUSON	ˌæ k j 'uw s ə n
ACUSTAR	'æ k j uw s t ˌɑ ɹ
ACUSYST	'æ k j uw s ɪ s t
ACUTE	ə k j 'uw t
ACUTELY	ə k j 'uw t l ij
ACUTENESS	ə k j 'uw t n ə s
ACYCLOVIR	ə s 'ɪ k l ow v ˌɪ ɹ
AD	'æ d
AD'S	'æ d z
AD-HOC	'æ d h 'ɑ k
AD-LIB	'æ d l 'ɪ b
AD-NAUSEUM	'æ d n 'ɔ z ij ə m
ADA	'ej d ə
ADA'S	'ej d ə z
ADABEL	'æ d ə b ɛ l
ADABELLE	'æ d ə b ə l
ADACHI	ɑ d 'ɑ k ij
ADAGE	'æ d ə ʤ
ADAGE(1)	'æ d ɪ ʤ
ADAGIO	ə d 'ɑ ʒ ij ˌow
ADAH	'æ d ɑ
ADAIR	ə d 'ɛ ɹ
ADAIRE	ɑ d 'ɛ ɹ
ADAK	ə d 'æ k
ADALAH	ɑ d 'ɑ l ə
ADALIA	ɑ d 'ɑ l ij ə
ADAM	'æ d ə m
ADAM'S	'æ d ə m z
ADAMANT	'æ d ə m ə n t
ADAMANTLY	'æ d ə m ə n t l ij
ADAMCIK	'ɑ d ə m ʧ ɪ k
ADAMCZAK	'ɑ d ə m ʧ æ k
ADAMCZYK	'ɑ d ə m ʧ ɪ k
ADAME	ɑ d 'ɑ m ij
ADAMEC	ə d 'ɑ m ɪ k
ADAMEK	ə d 'ɑ m ɛ k
ADAMES	ə d 'ej m z
ADAMI	ɑ d 'ɑ m ij
ADAMIK	ə d 'ɑ m ɪ k
ADAMINA	ɑ d ɑ m 'ij n ə
ADAMKUS	'æ d ə m k ə s
ADAMO	ɑ d 'ɑ m ow
ADAMOWICZ	ə d 'ɑ m ə v ɪ ʧ
ADAMS	'æ d ə m z
ADAMS'	'æ d ə m z
ADAMS'S	'æ d ə m z ɪ z
ADAMSKI	ə d 'æ m s k ˌij
ADAMSON	'æ d ə m s ə n
ADAMSTOWN	'æ d ə m s t ˌaw n
ADAN	'ej d ə n
ADAPSO	ə d 'æ p s ow
ADAPT	ə d 'æ p t
ADAPTABILITY	ə d ˌæ p t ə b 'ɪ l ə t ij
ADAPTABLE	ə d 'æ p t ə b ə l
ADAPTAPLEX	ə d 'æ p t ə p l ˌɛ k s
ADAPTATION	ˌæ d ə p t 'ej ʃ ə n
ADAPTATIONS	ˌæ d æ p t 'ej ʃ ə n z
ADAPTATIONS(1)	ˌæ d ə p t 'ej ʃ ə n z
ADAPTEC	ə d 'æ p t ˌɛ k
ADAPTEC'S	ə d 'æ p t ˌɛ k s
ADAPTED	ə d 'æ p t ə d
ADAPTED(1)	ə d 'æ p t ɪ d
ADAPTER	ə d 'æ p t ə ɹ
ADAPTERS	ə d 'æ p t ə ɹ z
ADAPTING	ə d 'æ p t ɪ ŋ
ADAPTIVE	ə d 'æ p t ɪ v
ADAPTOR	ə d 'æ p t ə ɹ
ADAPTORS	ə d 'æ p t ə ɹ z
ADAPTS	ə d 'æ p t s
ADAR	ə d 'ɑ ɹ
ADARAND	'æ d ə ɹ ˌæ n d
ADAS	'ej d ə z
ADAY	ə d 'ej
ADAZA	ə d 'ɑ z ə
ADCOCK	ə d k 'ɑ k
ADCOX	ə d k 'ɑ k s
ADD	'æ d
ADDAIR	ə d 'ɛ ɹ
ADDAMS	'æ d ə m z
ADDED	'æ d ə d
ADDED(1)	'æ d ɪ d
ADDENDUM	ə d 'ɛ d ə m
ADDENDUMS	ə d 'ɛ d ə m z
ADDEO	'ɑ d ij ow
ADDER	'æ d ə ɹ
ADDERLEY	ə d 'ɛ ɹ l ij
ADDICKS	'æ d ɪ k s
ADDICT	ə d 'ɪ k t
ADDICT(1)	'æ d ˌɪ k t
ADDICTED	ə d 'ɪ k t ə d
ADDICTED(1)	ə d 'ɪ k t ɪ d
ADDICTING	ə d 'ɪ k t ɪ ŋ
ADDICTION	ə d 'ɪ k ʃ ə n
ADDICTIONS	ə d 'ɪ k ʃ ə n z
ADDICTIVE	ə d 'ɪ k t ɪ v
ADDICTS	ə d 'ɪ k t s
ADDICTS(1)	'æ d ˌɪ k t s
ADDIDAS	ə d 'ij d ə s
ADDIDAS'	ə d 'ij d ə s
ADDIDAS'S	ə d 'ij d ə s ɪ z
ADDIDASES	ə d 'ij d ə s ɪ z
ADDIE	'æ d ij
ADDING	'æ d ɪ ŋ
ADDINGTON	'æ d ɪ ŋ t ə n
ADDIS	'ɑ d ɪ s
ADDIS-ABABA	'ɑ d ɪ s ə b 'ɑ b ə
ADDIS-ABABA(1)	'ɑ d ij s ə b 'ɑ b ə
ADDISON	'æ d ə s ə n
ADDISON(1)	'æ d ɪ s ə n
ADDISON'S	'æ d ɪ s ə n z
ADDITION	ə d 'ɪ ʃ ə n
ADDITIONAL	ə d 'ɪ ʃ ə n ə l
ADDITIONAL(1)	ə d 'ɪ ʃ n ə l
ADDITIONALLY	ə d 'ɪ ʃ ə n ə l ij
ADDITIONALLY(1)	ə d 'ɪ ʃ n ə l ij
ADDITIONS	ə d 'ɪ ʃ ə n z
ADDITIVE	'æ d ə t ɪ v
ADDITIVE(1)	'æ d ɪ t ɪ v
ADDITIVES	'æ d ə t ɪ v z
ADDITIVES(1)	'æ d ɪ t ɪ v z
ADDLE	'æ d ə l
ADDLED	'æ d ə l d
ADDLEMAN	'æ d ə l m ə n
ADDRESS	'æ d ɹ ˌɛ s
ADDRESS(1)	ə d ɹ 'ɛ s
ADDRESSABLE	ə d ɹ 'ɛ s ə b ə l
ADDRESSED	ə d ɹ 'ɛ s t
ADDRESSEE	ˌæ d ɹ ɛ s 'ij
ADDRESSES	'æ d ɹ 'ɛ s ɪ z
ADDRESSES(1)	ə d ɹ 'ɛ s ɪ z
ADDRESSING	ə d ɹ 'ɛ s ɪ ŋ
ADDS	'æ d z
ADDUCI	ɑ d 'uw ʧ ij
ADDUCT	'æ d ə k t
ADDWEST	ˌæ d w 'ɛ s t
ADDY	'æ d ij
ADDYSTON	'æ d ij s t ə n
ADE	'ej d
ADEE	ə d 'ij
ADEL	ə d 'ɛ l
ADELA	ə d 'ɛ l ə
ADELAAR	'æ d ə l ˌɑ ɹ
ADELAIDE	'æ d ə l ˌej d
ADELANTO	æ d ə l 'ɑ n t ow
ADELBERT	ə d 'ɛ l b ə ɹ t
ADELE	ə d 'ɛ l
ADELE'S	ə d 'ɛ l z
ADELINE	'æ d ə l ˌaj n
ADELIZZI	ˌæ d ə l 'ij z ij
ADELL	ə d 'ɛ l
ADELL'S	ə d 'ɛ l z
ADELLE	ə d 'ɛ l
ADELMAN	'æ d ə l m ə n
ADELMAN(1)	'ɛ d ə l m ə n
ADELMANN	'æ d ə l m ə n
ADELPHA	ə d 'ɛ l f ə
ADELPHI	ə d 'ɛ l f ij
ADELPHIA	ə d 'ɛ l f ij ə
ADELPHIA'S	ə d 'ɛ l f ij ə z
ADELSBERGER	'æ d ɪ l z b ə ɹ g ə ɹ
ADELSON	'æ d ə l s ə n
ADELSTEIN	'æ d ə l s t aj n
ADELSTEIN(1)	'æ d ə l s t ij n
ADEN	'ej d ə n
ADENA	'æ d ɪ n ə
ADENAUER	'ej d ə n ˌaw ɹ
ADENAUER(1)	'æ d ə n ˌaw ɹ
ADENINE	'æ d ə n ˌij n
ADENOID	'æ d ə n ˌɔj d
ADENOIDS	'æ d ə n ˌɔj d z
ADENOSCAN	ə d 'ɛ n ə s k ˌæ n
ADENOSINE	ə d 'ɛ n ə s ˌij n
ADENOVIRUS	ə d 'ɛ n ə v ˌaj ɹ ə s
ADEPT	ə d 'ɛ p t
ADEQUACY	'æ d ə k w ə s ij
ADEQUATE	'æ d ə k w ə t
ADEQUATE(1)	'æ d ə k w ˌej t
ADEQUATELY	'æ d ə k w ə t l ij
ADEQUATELY(1)	'æ d ə k w ɪ t l ij
ADER	'ej d ə ɹ
ADERHOLD	'æ d ə ɹ h ow l d
ADERHOLT	'æ d ə ɹ h ow l t
ADERMAN	'æ d ə ɹ m ə n
ADES	'ej d z
ADEY	'ej d ij
ADGER	'æ ʤ ə ɹ
ADHAM	'æ d h æ m
ADHERE	ə d h 'ɪ ɹ
ADHERED	æ d h 'ɪ ɹ d
ADHERENCE	ə d h 'ɪ ɹ ə n s
ADHERENT	ə d h 'ɪ ɹ ə n t
ADHERENTS	æ d h 'ɪ ɹ ə n t s
ADHERES	ə d h 'ɪ ɹ z
ADHERING	ə d h 'ɪ ɹ ɪ ŋ
ADHESION	æ d h 'ij ʒ ə n
ADHESIVE	æ d h 'ij s ɪ v
ADHESIVE(1)	ə d h 'ij s ɪ v
ADHESIVES	æ d h 'ij s ɪ v z
ADHESIVES(1)	ə d h 'ij s ɪ v z
ADIA	'ɑ d ij ə
ADID	ə d 'ɪ d
ADIDAS	ə d 'ij d ə s
ADIDAS'S	ə d 'ij d ə s ɪ z
ADIEU	ə d 'uw
ADIN	ə d 'ɪ n
ADINA	ɑ d 'ij n ə
ADINE	ɑ d 'ij n ij
ADINOLFI	ɑ d ij n 'ow l f ij
ADIOS	ˌɑ d ij 'ow s
ADIPOSE	'æ d ə p ˌow s
ADIRONDACK	ˌæ d ə ɹ 'ɑ n d æ k
ADISQ	ə d 'ɪ s k
ADISQ(1)	'ej d ɪ s k
ADJACENT	ə ʤ 'ej s ə n t
ADJANI	æ d ʤ 'ɑ n ij
ADJECTIVE	'æ ʤ ɪ k t ɪ v
ADJECTIVES	'æ ʤ ɪ k t ɪ v z
ADJOIN	ə ʤ 'ɔj n
ADJOINING	ə ʤ 'ɔj n ɪ ŋ
ADJOINS	ə ʤ 'ɔj n z
ADJOURN	ə ʤ 'ɛ ɹ n
ADJOURNED	ə ʤ 'ɛ ɹ n d
ADJOURNING	ə ʤ 'ɛ ɹ n ɪ ŋ
ADJOURNMENT	ə ʤ 'ɛ ɹ n m ə n t
ADJOURNS	ə ʤ 'ɛ ɹ n z
ADJUDGE	ə ʤ 'ʌ ʤ
ADJUDGED	ə ʤ 'ʌ ʤ d
ADJUDICATE	ə ʤ 'uw d ɪ k ˌej t
ADJUDICATED	ə ʤ 'uw d ə k ˌej t ɪ d
ADJUDICATING	ə ʤ 'uw d ɪ k ˌej t ɪ ŋ
ADJUDICATION	ə ʤ ˌuw d ə k 'ej ʃ ə n
ADJUNCT	'æ ʤ ˌʌ ŋ k t
ADJUNCTS	'æ ʤ ˌʌ ŋ k t s
ADJUST	ə ʤ 'ʌ s t
ADJUSTABLE	ə ʤ 'ʌ s t ə b ə l
ADJUSTABLES	ə ʤ 'ʌ s t ə b ə l z
ADJUSTED	ə ʤ 'ʌ s t ə d
ADJUSTED(1)	ə ʤ 'ʌ s t ɪ d
ADJUSTER	ə ʤ 'ʌ s t ə ɹ
